number	weight	playerName	hometown	pos	height	playerId	summary	class
21	205	Nick George		F	78	nick-george-1	16.8 Pts, 5.8 Reb, 2.1 Ast	JR
2	210	Michael Doles	Richmond, VA	F	78	michael-doles-1	14.9 Pts, 3.9 Reb, 2.0 Ast	SR
20	160	B.A. Walker	Onancock, VA	G	74	ba-walker-1	12.1 Pts, 3.4 Reb, 3.0 Ast	SO
23	195	Jesse Pellot-Rosa	Richmond, VA	G	76	jesse-pellot-rosa-1	6.6 Pts, 4.7 Reb, 1.1 Ast	SO
25	190	Alexander Harper	Columbia, SC	G	76	alexander-harper-1	5.9 Pts, 4.1 Reb, 2.5 Ast	JR
30	245	Calvin Roland	Hephzibah, GA	C	82	calvin-roland-1	4.3 Pts, 2.9 Reb, 0.6 Ast	JR
34	215	Derrick Reid	Richmond, VA	F	80	derrick-reid-1	3.8 Pts, 2.7 Reb, 0.6 Ast	SR
1	210	Renardo Dixon	Houston, TX	F	81	renardo-dixon-1	3.2 Pts, 1.7 Reb, 0.4 Ast	SO
24	180	Jamal Shuler	Jacksonville, NC	G	75	jamal-shuler-1	2.2 Pts, 1.1 Reb, 0.6 Ast	FR
15	205	Michael Anderson	Virginia Beach, VA	F	79	michael-anderson-2	1.5 Pts, 1.1 Reb, 0.3 Ast	FR
40	215	Sam Faulk	Fayetteville, NC	F	80	sam-faulk-1	1.0 Pts, 1.7 Reb, 0.2 Ast	FR
5	185	Julian Capel	Fayetteville, NC	G	77	julian-capel-2	0.4 Pts, 0.5 Reb, 0.7 Ast	JR
21	205	Drew Johnson	Raleigh, NC	G	76	drew-johnson-1	1.2 Pts, 0.5 Reb, 0.0 Ast	SO
