number	weight	playerName	hometown	pos	height	playerId	summary	class
50	250	Lance Allred	Salt Lake City, UT	C	83	lance-allred-1	17.7 Pts, 12.0 Reb, 1.7 Ast	SR
1	205	Coric Riggs	Louisville, KY	F	76	coric-riggs-1	10.3 Pts, 4.0 Reb, 1.1 Ast	JR
34	205	Terrell Stovall	Inglewood, CA	G	75	terrell-stovall-1	9.7 Pts, 1.8 Reb, 1.9 Ast	JR
11	215	Troy Goodell	Layton, UT	F	78	troy-goodell-1	8.1 Pts, 5.5 Reb, 2.0 Ast	SR
10	185	Brett Cox	Mesa, AZ	G	72	brett-cox-1	6.7 Pts, 2.2 Reb, 1.7 Ast	JR
4	205	Jamaal Jenkins	Arlington, TX	G	75	jamaal-jenkins-1	5.1 Pts, 2.2 Reb, 3.3 Ast	JR
24	220	David Patten	Placentia, CA	F	80	david-patten-1	7.4 Pts, 3.5 Reb, 1.2 Ast	SO
22	180	Dale Parsons		G	72	dale-parsons-1	4.4 Pts, 2.0 Reb, 1.3 Ast	JR
45	185	Juan Pablo Silveira		G	75	juan-pablo-silveira-1	2.4 Pts, 1.2 Reb, 1.4 Ast	FR
3	190	Matt Emadi	Layton, UT	G	78	matt-emadi-1	1.3 Pts, 0.9 Reb, 0.2 Ast	SO
14	275	Danko Barisic		C	84	danko-barisic-1	1.1 Pts, 1.5 Reb, 0.1 Ast	FR
30	190	Rodney Wash	East Chicago, IN	F	78	rodney-wash-1	0.3 Pts, 0.7 Reb, 0.0 Ast	FR
31	215	Chris Thomas	Crown Point, IN	F	79	chris-thomas-3	0.0 Pts, 1.0 Reb, 0.0 Ast	FR
