number	weight	playerName	hometown	pos	height	playerId	summary	class
2	185	Kevin Kruger	Marietta, GA	G	74	kevin-kruger-1	15.0 Pts, 3.4 Reb, 3.5 Ast	JR
12	205	Bryson Krueger	Phoenix, AZ	G	79	bryson-krueger-1	12.3 Pts, 3.4 Reb, 1.9 Ast	SR
4	240	Jeff Pendergraph	Etiwanda, CA	F	82	jeff-pendergraph-1	10.9 Pts, 6.1 Reb, 0.6 Ast	FR
1	205	Antwi Atuahene		G	76	antwi-atuahene-1	7.1 Pts, 3.6 Reb, 3.9 Ast	SO
45	230	Serge Angounou	Albuquerque, NM	F	80	serge-angounou-1	7.3 Pts, 5.1 Reb, 1.1 Ast	JR
30	225	Sylvester Seay	San Bernardino, CA	F	81	sylvester-seay-1	4.7 Pts, 2.0 Reb, 0.5 Ast	FR
33	193	Tyrone Jackson	Fresno, CA	G	74	tyrone-jackson-1	4.3 Pts, 2.4 Reb, 2.5 Ast	SR
41	235	Craig Austin	Oceanside, CA	F	82	craig-austin-1	2.8 Pts, 1.6 Reb, 0.5 Ast	SO
32	241	Chad Goldstein	Scottsdale, AZ	F	81	chad-goldstein-1	2.8 Pts, 1.9 Reb, 0.2 Ast	FR
31	220	Bruno Claudino		F	80	bruno-claudino-1	1.8 Pts, 1.3 Reb, 0.2 Ast	JR
0	232	Allen Morill	Arlington, TX	F	79	allen-morill-1	4.6 Pts, 3.6 Reb, 0.3 Ast	SR
20	201	Robby Alridge	Katy, TX	G	73	robby-alridge-1	0.3 Pts, 0.1 Reb, 0.0 Ast	JR
