number	weight	playerName	hometown	pos	height	playerId	summary	class
1	250	Craig Smith		F	79	craig-smith-1	17.6 Pts, 9.4 Reb, 3.0 Ast	SR
3	225	Jared Dudley	San Diego, CA	F	79	jared-dudley-1	16.7 Pts, 6.6 Reb, 3.2 Ast	JR
23	212	Sean Marshall	Rialto, CA	G	77	sean-marshall-1	11.1 Pts, 3.9 Reb, 2.2 Ast	JR
4	190	Tyrese Rice	Richmond, VA	G	73	tyrese-rice-1	9.2 Pts, 1.4 Reb, 2.5 Ast	FR
11	200	Louis Hinnant	Oxon Hill, MD	G	76	louis-hinnant-1	7.5 Pts, 2.8 Reb, 4.6 Ast	SR
32	255	John Oates	Harriman, NY	F	82	john-oates-1	3.4 Pts, 2.5 Reb, 0.6 Ast	SO
5	220	Akida McLain	Pittsburgh, PA	F	79	akida-mclain-1	4.2 Pts, 2.7 Reb, 0.3 Ast	SO
51	235	Sean Williams	Houston, TX	F	82	sean-williams-1	3.1 Pts, 3.4 Reb, 0.4 Ast	SO
0	185	Marquez Haynes	Irving, TX	G	75	marquez-haynes-1	2.5 Pts, 0.8 Reb, 1.0 Ast	FR
25	195	Ted Dunlap	Dallas, TX	G	75	ted-dunlap-1	1.4 Pts, 0.7 Reb, 0.0 Ast	SR
33	225	Evan Neisler	Raleigh, NC	F	80	evan-neisler-1	1.4 Pts, 0.6 Reb, 0.0 Ast	FR
21	200	Tyler Neville	Ridgewood, NJ	G	75	tyler-neville-1	0.8 Pts, 0.4 Reb, 0.4 Ast	SR
