number	weight	playerName	hometown	pos	height	playerId	summary	class
25	220	Derek Stockalper	Carlsbad, CA	G	77	derek-stockalper-1	12.9 Pts, 6.7 Reb, 1.9 Ast	JR
2	205	Dawin Whiten	North Hills, CA	G	75	dawin-whiten-1	11.6 Pts, 2.6 Reb, 1.5 Ast	SO
15	230	Gabe Stephenson	Denver, CO	F	80	gabe-stephenson-1	9.1 Pts, 5.5 Reb, 1.0 Ast	SR
22	220	Tyler McGinn	Gilbert, AZ	F	78	tyler-mcginn-1	8.1 Pts, 3.6 Reb, 0.4 Ast	JR
10	175	Chaz Thomas	Daly City, CA	G	73	chaz-thomas-1	7.7 Pts, 3.0 Reb, 2.6 Ast	FR
0	185	Trae Clark	Fremont, CA	G	71	trae-clark-1	8.3 Pts, 1.9 Reb, 2.8 Ast	FR
35	240	Titus Shelton	Fresno, CA	F	79	titus-shelton-1	5.2 Pts, 4.7 Reb, 0.6 Ast	FR
41	210	Coby Leavitt	Ivins, UT	C	81	coby-leavitt-1	7.7 Pts, 3.9 Reb, 0.3 Ast	FR
11	230	Joe Henry	Santa Rosa, CA	F	79	joe-henry-1	1.8 Pts, 2.1 Reb, 0.5 Ast	JR
12	175	Clayton Osborn	Magna, UT	G	73	clayton-osborn-1	2.1 Pts, 1.2 Reb, 0.9 Ast	SO
45	290	Zach Thurow	Minneapolis, MN	C	81	zach-thurow-1	1.4 Pts, 2.2 Reb, 0.2 Ast	SO
10	220	Travis Busch	Mounds View, MN	F	76	travis-busch-2	6.2 Pts, 2.2 Reb, 0.5 Ast	FR
20	185	Robert Socci	San Juan Capistrano, CA	G	73	robert-socci-1	1.2 Pts, 0.2 Reb, 0.4 Ast	SR
