number	weight	playerName	hometown	pos	height	playerId	summary	class
44	240	Leon Powe		F	80	leon-powe-1	20.5 Pts, 10.1 Reb, 1.4 Ast	SO
1	200	Ayinde Ubaka	Oakland, CA	G	76	ayinde-ubaka-1	14.5 Pts, 3.0 Reb, 3.8 Ast	JR
15	195	Richard Midgley		G	75	richard-midgley-1	8.6 Pts, 2.5 Reb, 2.5 Ast	SR
2	185	Omar Wilkes	Los Angeles, CA	G	76	omar-wilkes-1	7.6 Pts, 1.5 Reb, 1.4 Ast	SO
35	250	DeVon Hardin	Fremont, CA	C	83	devon-hardin-1	7.3 Pts, 6.6 Reb, 0.5 Ast	SO
24	230	Theo Robertson	Pittsburg, CA	F	78	theo-robertson-1	6.0 Pts, 2.5 Reb, 1.3 Ast	FR
0	220	Rod Benson	San Diego, CA	C	82	rod-benson-1	4.9 Pts, 3.0 Reb, 0.7 Ast	SR
33	225	Jordan Wilkes	Los Angeles, CA	C	84	jordan-wilkes-1	2.1 Pts, 1.1 Reb, 0.2 Ast	FR
14	210	Eric Vierneisel	Algonquin, IL	F	79	eric-vierneisel-1	1.5 Pts, 0.9 Reb, 0.5 Ast	SO
13	190	Nikola Knezevic		G	75	nikola-knezevic-1	1.0 Pts, 0.4 Reb, 0.7 Ast	FR
20	175	Martin Smith	Escondido, CA	G	72	martin-smith-1	2.3 Pts, 1.0 Reb, 2.9 Ast	SR
31	215	Alex Pribble	Fairfax, CA	G	76	alex-pribble-1	0.6 Pts, 0.8 Reb, 0.4 Ast	JR
12	205	Steve Panawek	Moraga, CA	G	78	steve-panawek-1	1.2 Pts, 0.6 Reb, 0.0 Ast	JR
32	210	Ivan Kovacevic	Long Beach, CA	G	77	ivan-kovacevic-1	0.5 Pts, 0.5 Reb, 0.0 Ast	FR
