number	weight	playerName	hometown	pos	height	playerId	summary	class
21	205	Maurice Latham	Norfolk, VA	F	78	maurice-latham-1	18.0 Pts, 8.9 Reb, 2.2 Ast	SR
11	175	Eric Smith	Chicago, IL	G	73	eric-smith-1	16.8 Pts, 3.7 Reb, 2.4 Ast	JR
12	160	Ledell Eackles	Baton Rouge, LA	G	70	ledell-eackles-2	9.9 Pts, 3.0 Reb, 5.4 Ast	JR
4	200	Reggie Bishop	Gadsden, AL	G	75	reggie-bishop-1	8.6 Pts, 2.9 Reb, 1.7 Ast	SO
5	190	Ruell Pringle	Virginia Beach, VA	G	73	ruell-pringle-1	8.6 Pts, 2.3 Reb, 2.3 Ast	SO
2	180	Jake Wohlfeil	San Diego, CA	G	76	jake-wohlfeil-1	6.7 Pts, 2.1 Reb, 1.2 Ast	SO
1	235	Diego Aguiar		C	79	diego-aguiar-1	5.7 Pts, 4.4 Reb, 0.4 Ast	JR
44	220	Comerlee Poole	Chicago, IL	F	78	comerlee-poole-1	5.4 Pts, 4.4 Reb, 0.5 Ast	SR
30	230	Oladapo Fagbenle		C	81	oladapo-fagbenle-1	1.1 Pts, 3.1 Reb, 0.5 Ast	FR
4	185	J'Quincy Jones	Baton Rouge, LA	G	74	jquincy-jones-1	3.5 Pts, 1.2 Reb, 0.5 Ast	JR
33	230	Colin Hunt	Newport News, VA	C	80	colin-hunt-1	1.2 Pts, 0.7 Reb, 0.3 Ast	JR
20	200	Russ Gibson	Henderson, KY	F	81	russ-gibson-1	0.6 Pts, 0.4 Reb, 0.2 Ast	JR
45	225	Matthew Johnson	Benson, NC	C	80	matthew-johnson-1	0.8 Pts, 0.9 Reb, 0.0 Ast	SO
14	155	Ben Coleman	Fayetteville, NC	G	70	ben-coleman-2	0.5 Pts, 0.0 Reb, 0.0 Ast	SR
