number	weight	playerName	hometown	pos	height	playerId	summary	class
30	210	Josh Peppers	Memphis, TN	F	78	josh-peppers-1	13.7 Pts, 4.0 Reb, 1.8 Ast	JR
21	190	Justin Rose	Junction City, KS	G	75	justin-rose-1	10.5 Pts, 5.7 Reb, 3.4 Ast	SR
33	220	Anthony Williams	Omaha, NE	F	80	anthony-williams-4	9.3 Pts, 5.2 Reb, 1.1 Ast	SR
4	180	Mike O'Donnell	Largo, FL	G	72	mike-odonnell-2	8.3 Pts, 2.4 Reb, 4.0 Ast	SO
20	185	Troy Lindbeck	Collinsville, IL	G	75	troy-lindbeck-1	4.6 Pts, 0.8 Reb, 0.9 Ast	SR
1	205	Jermaine Taylor	Tavares, FL	G	76	jermaine-taylor-1	4.3 Pts, 2.2 Reb, 0.5 Ast	FR
2	210	Lavell Payne	Ft. Lauderdale, FL	F	80	lavell-payne-1	4.3 Pts, 3.2 Reb, 0.8 Ast	JR
22	225	Marcus Johnson	Romulus, MI	F	79	marcus-johnson-7	4.2 Pts, 4.4 Reb, 0.5 Ast	SR
25	225	Adam Gill	Springboro, OH	C	81	adam-gill-1	2.8 Pts, 1.9 Reb, 0.3 Ast	SO
3	205	Dave Noel	Boynton Beach, FL	G	75	dave-noel-1	2.8 Pts, 2.4 Reb, 1.5 Ast	SO
13	240	Kenrick Zondervan		F	81	kenrick-zondervan-1	0.3 Pts, 0.3 Reb, 0.0 Ast	FR
10	175	Drew Spearaw	Oviedo, FL	G	74	drew-spearaw-1	0.0 Pts, 0.1 Reb, 0.1 Ast	FR
