number	weight	playerName	hometown	pos	height	playerId	summary	class
21	200	James White		F	79	james-white-1	16.3 Pts, 5.1 Reb, 2.0 Ast	SR
14	245	Eric Hicks	Greensboro, NC	F	79	eric-hicks-1	15.0 Pts, 9.7 Reb, 0.9 Ast	SR
2	175	Devan Downey	Chester, SC	G	70	devan-downey-1	11.9 Pts, 2.7 Reb, 4.3 Ast	FR
13	175	Jihad Muhammad	Plainfield, NJ	G	71	jihad-muhammad-1	10.8 Pts, 2.8 Reb, 2.2 Ast	SR
30	225	Cedric McGowan	Miami, FL	F	79	cedric-mcgowan-1	8.5 Pts, 7.2 Reb, 0.9 Ast	JR
33	205	Armein Kirkland	Tyler, TX	G	80	armein-kirkland-1	9.7 Pts, 3.4 Reb, 2.1 Ast	SR
1	175	Chadd Moore	Huntsville, AL	G	74	chadd-moore-1	3.7 Pts, 2.0 Reb, 2.0 Ast	SR
23	225	Ronald Allen	Los Angeles, CA	C	81	ronald-allen-1	2.4 Pts, 1.6 Reb, 0.0 Ast	JR
3	170	Domonic Tilford	Louisville, KY	G	71	domonic-tilford-1	2.5 Pts, 0.4 Reb, 0.6 Ast	FR
	240	Connor Barwin	Hazel Park, MI	F	76	connor-barwin-1	1.5 Pts, 2.5 Reb, 0.3 Ast	FR
1	235	DeAndre Coleman	Stone Mountain, GA	F	79	deandre-coleman-1	2.2 Pts, 1.5 Reb, 0.3 Ast	FR
	230	Erick Murray	Westerville, OH	F	77	erick-murray-1	0.5 Pts, 1.3 Reb, 0.1 Ast	JR
20	250	Brandon Miller	Cincinnati, OH	G	78	brandon-miller-1	0.5 Pts, 0.5 Reb, 0.0 Ast	FR
53	215	Scott Benken	Cincinnati, OH			scott-benken-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
32	220	Angelo Craig	Cleveland, OH			angelo-craig-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
10	190	Pat Watt	Cincinnati, OH	G	70	pat-watt-1	0.0 Pts, 0.5 Reb, 0.3 Ast	FR
