number	weight	playerName	hometown	pos	height	playerId	summary	class
10	195	Dante Terry	Virginia Beach, VA	G	74	dante-terry-1	12.6 Pts, 2.3 Reb, 2.5 Ast	SR
3	205	J'mel Everhart	Tyler, TX	F	78	jmel-everhart-1	10.9 Pts, 7.6 Reb, 1.7 Ast	JR
44	250	Demetrius Nelson	Johns Island, SC	F	80	demetrius-nelson-1	9.6 Pts, 6.2 Reb, 0.3 Ast	SO
2	175	Donny McLendon	Dublin, GA	G	72	donny-mclendon-1	10.2 Pts, 2.0 Reb, 1.5 Ast	JR
31	235	Joseph Thompson	Whiteville, NC	F	78	joseph-thompson-1	4.9 Pts, 2.5 Reb, 0.5 Ast	JR
21	210	Matt Davis	Carrollton, TX	F	77	matt-davis-1	4.4 Pts, 3.8 Reb, 1.2 Ast	SR
30	195	Mark Schiavoni	Winchester, VA	G	75	mark-schiavoni-1	6.7 Pts, 1.5 Reb, 0.4 Ast	JR
1	180	Vytautus Valiulis		G	73	vytautus-valiulis-1	3.1 Pts, 1.4 Reb, 2.1 Ast	FR
50	245	Aaron Xia	Friendswood, TX	F	80	aaron-xia-1	3.0 Pts, 2.5 Reb, 0.2 Ast	JR
2	250	Warren McLendon	Dublin, GA	F	78	warren-mclendon-1	10.9 Pts, 5.4 Reb, 1.7 Ast	SO
14	195	Chris Diasparra	Mahopac, NY	G	74	chris-diasparra-1	2.5 Pts, 0.8 Reb, 1.0 Ast	FR
22	189	Kevin Hammack	Baltimore, MD	G	73	kevin-hammack-1	7.4 Pts, 1.8 Reb, 2.0 Ast	SR
25	245	Andy Miller	Pittsburgh, PA	C	82	andy-miller-1	1.1 Pts, 1.2 Reb, 0.1 Ast	SR
12	185	Jonathan Brick	Baltimore, MD	G	72	jonathan-brick-1	1.0 Pts, 0.3 Reb, 1.3 Ast	FR
13	185	Chayne Dawley	Charleston, SC	G	76	chayne-dawley-1	2.1 Pts, 0.1 Reb, 0.1 Ast	FR
