number	weight	playerName	hometown	pos	height	playerId	summary	class
11	180	Dontaye Draper	Baltimore, MD	G	70	dontaye-draper-1	18.5 Pts, 2.6 Reb, 3.2 Ast	JR
4	265	Josh Jackson	Aiken, SC	C	80	josh-jackson-1	12.6 Pts, 5.8 Reb, 0.6 Ast	SO
21	185	David Lawrence	Atlanta, GA	F	79	david-lawrence-1	9.3 Pts, 7.0 Reb, 1.1 Ast	JR
5	250	Jermaine Johnson	Los Angeles, CA	F	79	jermaine-johnson-1	8.9 Pts, 7.5 Reb, 0.3 Ast	SO
1	185	Drew Hall	Silver Spring, MD	G	74	drew-hall-1	6.9 Pts, 3.4 Reb, 5.2 Ast	SR
14	225	Renardo Dickerson	Baltimore, MD	F	77	renardo-dickerson-1	5.7 Pts, 2.4 Reb, 1.0 Ast	JR
2	225	Philip McCandies	Winston-Salem, NC	C	81	philip-mccandies-1	5.2 Pts, 5.6 Reb, 0.8 Ast	SR
31	205	Marcus Hammond	Memphis, TN	G	75	marcus-hammond-1	3.4 Pts, 0.9 Reb, 0.7 Ast	SO
24	205	J.R. Hairston	Salisbury, NC	F	79	jr-hairston-1	2.2 Pts, 2.2 Reb, 0.2 Ast	SO
3	190	Ryan Scott	Reston, VA	G	75	ryan-scott-1	0.8 Pts, 0.7 Reb, 0.4 Ast	FR
		Jose Garcia		G	77	jose-garcia-1	1.1 Pts, 0.9 Reb, 0.0 Ast	FR
	205	Pat Hastings	Dallas, TX	F	77	pat-hastings-1	1.5 Pts, 1.7 Reb, 0.0 Ast	JR
29	160	David Baller	Dayton, OH	G	72	david-baller-1	0.9 Pts, 0.4 Reb, 0.1 Ast	SO
