number	weight	playerName	hometown	pos	height	playerId	summary	class
25	260	Yemi Nicholson	Aurora, CO	C	82	yemi-nicholson-1	19.9 Pts, 10.9 Reb, 0.9 Ast	SR
1	195	DaShawn Walker	Chicago, IL	G	78	dashawn-walker-1	13.4 Pts, 4.4 Reb, 1.2 Ast	JR
10	200	Anthony Porch	Denver, CO	F	80	anthony-porch-1	7.8 Pts, 4.2 Reb, 1.0 Ast	JR
14	165	Steve Wetrich	Ottumwa, IA	G	71	steve-wetrich-1	6.9 Pts, 2.0 Reb, 3.6 Ast	SO
3	210	David Kummer	Cedar Rapids, IA	F	78	david-kummer-1	6.2 Pts, 3.8 Reb, 1.5 Ast	SO
23	185	Brett Seger	Omaha, NE	G	77	brett-seger-1	5.3 Pts, 2.1 Reb, 1.5 Ast	SR
32	200	Andrew Carpenter		G	74	andrew-carpenter-1	5.8 Pts, 3.0 Reb, 3.2 Ast	SR
20	200	Alex Cox		G	75	alex-cox-1	2.4 Pts, 1.5 Reb, 1.3 Ast	JR
21	210	Terrence Gordon	Denver, CO	F	81	terrence-gordon-1	0.6 Pts, 1.1 Reb, 0.2 Ast	SR
21	180	Brian Giometti	San Diego, CA	G	72	brian-giometti-1	1.2 Pts, 0.5 Reb, 0.2 Ast	FR
24	185	Anthony Oliver	Fremont, CA	G	76	anthony-oliver-1	0.0 Pts, 0.0 Reb, 0.0 Ast	SO
