number	weight	playerName	hometown	pos	height	playerId	summary	class
11	195	Sammy Mejia	Bronx, NY	G	78	sammy-mejia-1	15.1 Pts, 4.0 Reb, 2.5 Ast	JR
3	210	Draelon Burns	Milwaukee, WI	G	76	draelon-burns-1	11.6 Pts, 3.3 Reb, 1.6 Ast	SO
22	220	Wilson Chandler	Benton Harbor, MI	F	80	wilson-chandler-1	10.6 Pts, 7.2 Reb, 1.0 Ast	FR
5	210	Karron Clarke	Brooklyn, NY	F	78	karron-clarke-1	10.0 Pts, 5.2 Reb, 1.2 Ast	SO
1	235	Jabari Currie	Detroit, MI	G	76	jabari-currie-1	5.1 Pts, 2.0 Reb, 2.8 Ast	FR
44	260	Marlon Brumfield	Chicago, IL	C	81	marlon-brumfield-1	3.7 Pts, 4.7 Reb, 0.4 Ast	SR
21	235	Marcus Heard	Springfield, IL	F	79	marcus-heard-1	3.4 Pts, 1.5 Reb, 0.3 Ast	JR
12	175	Cliff Clinkscales	Queens, NY	G	73	cliff-clinkscales-1	3.2 Pts, 1.1 Reb, 2.5 Ast	SO
4	300	Wesley Green	Eustis, FL	C	81	wesley-green-1	4.3 Pts, 2.5 Reb, 0.6 Ast	SO
32	290	Lorenzo Thompson	Chicago, IL	F	80	lorenzo-thompson-1	0.9 Pts, 1.2 Reb, 0.0 Ast	JR
3	215	Rashad Woods	Houston, TX	F	77	rashad-woods-1	0.8 Pts, 0.2 Reb, 0.0 Ast	FR
20	180	Noah Craigwell	Dorchester, MA	G	75	noah-craigwell-1	1.0 Pts, 0.0 Reb, 0.0 Ast	JR
13	205	Drew Gladstone	Queens, NY			drew-gladstone-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
2	160	Jeremy Jones	Calumet City, IL			jeremy-jones-1	0.0 Pts, 0.0 Reb, 0.3 Ast	FR
