number	weight	playerName	hometown	pos	height	playerId	summary	class
2	200	DeAndre Rice	Flint, MI	G	74	deandre-rice-1	16.1 Pts, 2.7 Reb, 2.7 Ast	JR
22	220	Rodney Webb	Long Beach, CA	F	79	rodney-webb-1	15.5 Pts, 7.8 Reb, 0.9 Ast	SR
21	170	Quinton Young	River Grove, IL	G	75	quinton-young-1	7.2 Pts, 1.3 Reb, 0.6 Ast	SR
25	190	Paul Graham	Philadelphia, PA	G	76	paul-graham-2	7.0 Pts, 1.3 Reb, 1.4 Ast	FR
32	245	Carlos Monroe	Philadelphia, PA	F	80	carlos-monroe-1	11.0 Pts, 4.6 Reb, 1.2 Ast	FR
3	175	Kevin Green	Philadelphia, PA	G	71	kevin-green-1	5.7 Pts, 1.3 Reb, 1.7 Ast	JR
30	215	Brent Crews	Chipola, FL	G	75	brent-crews-1	5.1 Pts, 3.6 Reb, 4.9 Ast	JR
12	210	Fred Marshall	Atlanta, GA	F	78	fred-marshall-1	4.7 Pts, 4.7 Reb, 1.2 Ast	SR
0	210	Derrick Simmons	Lake Wales, FL	F	78	derrick-simmons-1	4.2 Pts, 2.1 Reb, 0.4 Ast	SO
4	185	Tywain McTyer	Las Vegas, NV	G	72	tywain-mctyer-1	1.5 Pts, 1.0 Reb, 1.6 Ast	SO
24	210	David Anderson	Boca Raton, FL	F	78	david-anderson-1	1.5 Pts, 1.2 Reb, 0.4 Ast	JR
1	175	Lamar Moore	Key West, FL	G	72	lamar-moore-1	1.0 Pts, 0.4 Reb, 0.1 Ast	SR
13	190	Drew Skeeter	Milwaukee, WI	G	76	drew-skeeter-1	0.0 Pts, 0.0 Reb, 0.0 Ast	SR
	225	Jeff Parmer	Niagara Falls, NY		80	jeff-parmer-1		
