number	weight	playerName	hometown	pos	height	playerId	summary	class
14	210	Quinton Hosley	New York, NY	G	78	quinton-hosley-1	18.6 Pts, 9.2 Reb, 1.4 Ast	JR
34	215	Ja'Vance Coleman	Fresno, CA	G	75	javance-coleman-1	17.5 Pts, 2.9 Reb, 2.2 Ast	JR
5	180	Dwight O'Neil	Fresno, CA	G	75	dwight-oneil-1	10.8 Pts, 4.5 Reb, 1.9 Ast	SO
21	225	Hector Hernandez		F	81	hector-hernandez-1	8.9 Pts, 5.5 Reb, 0.7 Ast	SO
1	165	Kevin Bell	Los Angeles, CA	G	70	kevin-bell-1	7.6 Pts, 3.2 Reb, 5.9 Ast	SO
4	201	Donovan Morris	San Bernardino, CA	G	76	donovan-morris-1	7.5 Pts, 2.7 Reb, 1.4 Ast	SO
55	245	Renato Cesar		F	81	renato-cesar-1	2.5 Pts, 2.1 Reb, 0.1 Ast	JR
32	275	James Tchana		F	80	james-tchana-1	1.6 Pts, 2.0 Reb, 0.1 Ast	FR
11	185	Ajay Riding	Davis, CA	G	72	ajay-riding-1	0.3 Pts, 0.6 Reb, 0.5 Ast	JR
13	205	Jeff Jackson	Fresno, CA	G	76	jeff-jackson-1	0.2 Pts, 0.4 Reb, 0.2 Ast	FR
