number	weight	playerName	hometown	pos	height	playerId	summary	class
1	200	Ryan Evanochko	Beaver Falls, PA	G	74	ryan-evanochko-1	15.8 Pts, 3.5 Reb, 5.2 Ast	JR
43	215	Mike Schachtner	Somerset, WI	F	81	mike-schachtner-1	10.3 Pts, 4.4 Reb, 0.5 Ast	FR
41	230	Josh Lawrence	Ashton, IL	F	79	josh-lawrence-1	9.2 Pts, 4.9 Reb, 0.8 Ast	JR
24	215	Ryan Tillema	Randolph, WI	G	80	ryan-tillema-1	8.7 Pts, 3.7 Reb, 1.1 Ast	FR
21	195	Terry Evans	St. Louis, MO	F	77	terry-evans-1	7.8 Pts, 5.5 Reb, 1.7 Ast	SO
4	230	Aswan Minatee	Newark, NJ	F	77	aswan-minatee-1	6.0 Pts, 2.9 Reb, 0.3 Ast	JR
5	200	Ryan Werch	Ripon, WI	G	74	ryan-werch-1	4.8 Pts, 1.0 Reb, 0.8 Ast	SO
44	245	Tevah Morris	Clinton, TN	F	81	tevah-morris-1	2.5 Pts, 2.8 Reb, 0.2 Ast	SO
34	200	Cordero Barkley	Racine, WI	F	77	cordero-barkley-1	1.6 Pts, 1.4 Reb, 0.4 Ast	FR
2	190	Simon Farine		G	75	simon-farine-1	1.4 Pts, 0.7 Reb, 0.9 Ast	FR
33	185	Tim Dearlove	Martinsville, IN	G	74	tim-dearlove-1	0.6 Pts, 0.1 Reb, 0.2 Ast	FR
