number	weight	playerName	hometown	pos	height	playerId	summary	class
14	190	Kevin Hamilton	Queens Village, NY	G	76	kevin-hamilton-1	17.6 Pts, 6.3 Reb, 3.5 Ast	SR
10	205	Keith Simmons	Kingston, NY	G	77	keith-simmons-1	14.2 Pts, 5.2 Reb, 1.5 Ast	JR
1	185	Torey Thomas	White Plains, NY	G	71	torey-thomas-1	11.0 Pts, 5.2 Reb, 4.8 Ast	JR
0	260	Tim Clifford	Walpole, MA	C	83	tim-clifford-1	7.8 Pts, 4.1 Reb, 0.8 Ast	SO
21	205	Alex Vander Baan	Uxbridge, MA	F	81	alex-vander-baan-1	6.2 Pts, 5.0 Reb, 1.2 Ast	FR
33	220	Colin Cunningham	Memphis, TN	F	78	colin-cunningham-1	3.7 Pts, 2.5 Reb, 0.9 Ast	FR
41	245	Kevin Hyland	White Plains, NY	F	80	kevin-hyland-1	3.3 Pts, 2.2 Reb, 0.7 Ast	SR
3	200	Lawrence Dixon	Columbia, MD	G	77	lawrence-dixon-1	2.1 Pts, 1.4 Reb, 0.4 Ast	FR
2	175	Kyle Cruze	Knoxville, TN	G	74	kyle-cruze-1	1.1 Pts, 0.7 Reb, 0.2 Ast	SO
20	175	Pat Doherty	Scranton, PA	G	71	pat-doherty-1	3.6 Pts, 2.2 Reb, 1.8 Ast	SO
45	235	Greg McCarthy	Mansfield, MA	C	83	greg-mccarthy-1	0.6 Pts, 0.1 Reb, 0.0 Ast	FR
23	170	Victor Vaval	West Roxbury, MA	G	71	victor-vaval-1	0.8 Pts, 0.5 Reb, 0.0 Ast	FR
