number	weight	playerName	hometown	pos	height	playerId	summary	class
44	245	Greg Brunner	Charles City, IA	F	79	greg-brunner-1	14.1 Pts, 9.2 Reb, 1.8 Ast	SR
1	210	Adam Haluska	Carroll, IA	G	77	adam-haluska-1	13.9 Pts, 4.7 Reb, 2.3 Ast	JR
2	185	Jeff Horner	Mason City, IA	G	75	jeff-horner-1	13.6 Pts, 4.1 Reb, 5.6 Ast	SR
35	200	Mike Henderson	Waterloo, IA	G	74	mike-henderson-1	7.6 Pts, 3.9 Reb, 2.0 Ast	JR
34	220	Erek Hansen	Bedford, TX	C	83	erek-hansen-1	6.7 Pts, 4.0 Reb, 0.3 Ast	SR
23	245	Doug Thomas	Pasadena, CA			doug-thomas-1	4.6 Pts, 4.6 Reb, 0.4 Ast	SO
11	195	Tony Freeman	Maywood, IL	G	73	tony-freeman-1	3.4 Pts, 1.3 Reb, 1.6 Ast	FR
15	235	Alex Thompson	Ames, IA	F	82	alex-thompson-1	2.0 Pts, 2.3 Reb, 0.8 Ast	SO
25	195	Carlton Reed	Waterloo, IA	G	76	carlton-reed-1	1.8 Pts, 0.9 Reb, 0.5 Ast	SO
53	245	Seth Gorney	Vandalia, OH	C	84	seth-gorney-1	1.2 Pts, 1.0 Reb, 0.1 Ast	SO
14	190	Brett Wessels	Bettendorf, IA	G	75	brett-wessels-1	0.5 Pts, 0.2 Reb, 0.7 Ast	FR
13	185	Justin Wieck	North Liberty, IA	F	78	justin-wieck-1	0.2 Pts, 0.5 Reb, 0.2 Ast	SR
20	210	Ryan Kennedy	Des Moines, IA			ryan-kennedy-1	0.0 Pts, 1.0 Reb, 0.0 Ast	FR
