number	weight	playerName	hometown	pos	height	playerId	summary	class
14	215	Eddie Ard	LaPlace, LA	G	77	eddie-ard-1	16.2 Pts, 5.4 Reb, 1.6 Ast	SO
5	205	Brian Fisk	Newbern, TN	G	74	brian-fisk-1	16.0 Pts, 3.9 Reb, 3.1 Ast	JR
34	170	James Poindexter	Birmingham, AL	G	73	james-poindexter-1	12.1 Pts, 2.2 Reb, 1.5 Ast	SR
0	250	Shaun Durant		C	80	shaun-durant-1	7.4 Pts, 7.2 Reb, 0.7 Ast	SR
2	210	Cameron Robinson		F	79	cameron-robinson-1	5.5 Pts, 5.3 Reb, 0.6 Ast	SR
1	190	Trey Williams	Memphis, TN	G	74	trey-williams-1	4.7 Pts, 3.5 Reb, 3.9 Ast	FR
42	180	Michael Lusk	Kennesaw, GA	G	75	michael-lusk-1	4.6 Pts, 2.5 Reb, 1.1 Ast	FR
20	185	LaKory Daniels	Troy, AL	G	73	lakory-daniels-2	3.7 Pts, 0.9 Reb, 0.6 Ast	SO
32	190	Jason Guyette	Freeburg, IL	G	77	jason-guyette-1	2.2 Pts, 1.1 Reb, 0.2 Ast	SR
44	220	Kris Alpers	Eden Prairie, MN	C	81	kris-alpers-1	1.9 Pts, 1.2 Reb, 0.1 Ast	FR
12	180	Brandon Hartwell	Columbus, IN	G	74	brandon-hartwell-1	1.7 Pts, 0.3 Reb, 0.9 Ast	JR
40	230	Thomas Pfaff	Clarksville, TN	F	80	thomas-pfaff-1	1.0 Pts, 1.1 Reb, 0.0 Ast	FR
11	185	Joe Peters	Nashville, TN	G	73	joe-peters-1	0.9 Pts, 0.7 Reb, 0.1 Ast	SR
13	170	Will Mantlo	Nashville, TN	G	73	will-mantlo-1	0.9 Pts, 0.6 Reb, 0.4 Ast	SO
