number	weight	playerName	hometown	pos	height	playerId	summary	class
1	255	Rashaun Freeman	Schenectady, NY	C	81	rashaun-freeman-1	13.6 Pts, 9.3 Reb, 1.3 Ast	JR
34	190	James Life	Leigh Acres, FL	G	76	james-life-1	11.3 Pts, 2.2 Reb, 1.1 Ast	JR
13	215	Stephane Lasme		F	80	stephane-lasme-1	10.5 Pts, 7.0 Reb, 1.1 Ast	JR
22	215	Jeff Viggiano	Suffield, CT	F	78	jeff-viggiano-1	8.9 Pts, 3.5 Reb, 2.0 Ast	SR
2	200	Brandon Thomas	San Antonio, TX	G	78	brandon-thomas-2	6.0 Pts, 2.1 Reb, 1.3 Ast	JR
14	180	Chris Lowe	Mount Vernon, NY	G	72	chris-lowe-1	5.5 Pts, 2.8 Reb, 4.9 Ast	FR
23	225	Lawrence Carrier	San Bernardino, CA	F	81	lawrence-carrier-1	4.4 Pts, 2.5 Reb, 0.6 Ast	SO
20	215	Dante Milligan	New York, NY	F	80	dante-milligan-1	3.3 Pts, 4.0 Reb, 0.1 Ast	SO
3	185	Maurice Maxwell	Philadelphia, PA	G	77	maurice-maxwell-1	6.5 Pts, 2.8 Reb, 2.8 Ast	JR
12	210	Matt Pennie	Hanson, MA	F	79	matt-pennie-1	1.5 Pts, 1.0 Reb, 0.0 Ast	JR
40	195	Nana Ampim		G	73	nana-ampim-1	0.0 Pts, 0.0 Reb, 0.0 Ast	SO
20	190	Art Bowers	Wilmington, DE	G	76	art-bowers-1	0.0 Pts, 1.5 Reb, 0.5 Ast	JR
10	170	Drew Rossi	Springfield, MA	G	72	drew-rossi-1	0.0 Pts, 0.0 Reb, 0.0 Ast	JR
