number	weight	playerName	hometown	pos	height	playerId	summary	class
4	205	Daniel Horton		G	75	daniel-horton-1	17.6 Pts, 2.5 Reb, 5.3 Ast	SR
44	245	Courtney Sims	Roslindale, MA	F	82	courtney-sims-1	10.9 Pts, 5.7 Reb, 0.8 Ast	JR
5	205	Dion Harris	Detroit, MI	G	75	dion-harris-1	11.1 Pts, 2.9 Reb, 2.8 Ast	JR
31	225	Chris Hunter	Gary, IN	F	83	chris-hunter-1	8.1 Pts, 3.8 Reb, 0.4 Ast	SR
32	200	Lester Abram	Pontiac, MI	F	78	lester-abram-1	10.0 Pts, 3.3 Reb, 1.0 Ast	SR
24	210	Ron Coleman	Romulus, MI	F	78	ron-coleman-1	5.8 Pts, 2.7 Reb, 0.8 Ast	SO
25	245	Graham Brown	Mio, MI	F	81	graham-brown-1	5.1 Pts, 7.3 Reb, 1.2 Ast	SR
23	210	Brent Petway	McDonough, GA	F	81	brent-petway-1	5.5 Pts, 3.6 Reb, 0.4 Ast	JR
1	195	Jerret Smith	Romulus, MI	G	75	jerret-smith-1	2.4 Pts, 1.3 Reb, 2.2 Ast	FR
22	215	Jevohn Shepherd		F	77	jevohn-shepherd-1	1.8 Pts, 1.1 Reb, 0.6 Ast	FR
22	200	Sherrod Harrell	Kalamazoo, MI	G	75	sherrod-harrell-1	0.8 Pts, 0.6 Reb, 0.4 Ast	SR
10	175	Hayes Grooms	Detroit, MI	G	74	hayes-grooms-1	0.6 Pts, 0.2 Reb, 0.8 Ast	SR
50	250	Amadou Ba		C	82	amadou-ba-1	0.4 Pts, 0.2 Reb, 0.0 Ast	SR
30	185	Alex Brzozowicz	Oak Park, IL	G	75	alex-brzozowicz-1	0.0 Pts, 0.0 Reb, 0.0 Ast	SO
14	165	Troy Sanchez	Hemlock, MI	G	74	troy-sanchez-1	0.0 Pts, 0.0 Reb, 0.0 Ast	SR
