number	weight	playerName	hometown	pos	height	playerId	summary	class
44	230	Jamont Gordon	Nashville, TN	G	76	jamont-gordon-1	13.8 Pts, 6.8 Reb, 4.3 Ast	FR
23	245	Charles Rhodes	Jackson, MS	F	80	charles-rhodes-1	13.8 Pts, 7.1 Reb, 0.3 Ast	SO
12	200	Reginald Delk	Jackson, TN	G	76	reginald-delk-1	8.9 Pts, 2.2 Reb, 1.0 Ast	FR
5	190	Jamall Edmondson	Montgomery, AL	G	69	jamall-edmondson-1	11.0 Pts, 1.9 Reb, 1.8 Ast	SR
22	200	Dietric Slater	Waynesboro, MS	G	75	dietric-slater-1	10.1 Pts, 4.9 Reb, 1.2 Ast	JR
25	240	Wesley Morgan	Gallatin, TN	C	86	wesley-morgan-1	4.5 Pts, 5.3 Reb, 0.3 Ast	SR
41	240	Piotr Stelmach		F	81	piotr-stelmach-1	3.3 Pts, 2.9 Reb, 0.5 Ast	JR
33	191	Richard Delk	Jackson, TN	G	76	richard-delk-1	3.5 Pts, 1.4 Reb, 2.0 Ast	FR
42	245	Walter Sharpe	Birmingham, AL	F	81	walter-sharpe-1	9.3 Pts, 5.0 Reb, 0.5 Ast	SO
1	230	Vernon Goodridge	Brooklyn, NY	C	81	vernon-goodridge-1	1.8 Pts, 1.9 Reb, 0.0 Ast	FR
3	220	Jerrell Houston	Memphis, TN	F	80	jerrell-houston-2	2.3 Pts, 2.2 Reb, 0.4 Ast	FR
20	190	Michael Boler	Greenwood, MS	G	77	michael-boler-1	1.2 Pts, 1.3 Reb, 0.4 Ast	SR
33	200	Bernard Rimmer	Grenada, MS	F	80	bernard-rimmer-1	0.5 Pts, 1.6 Reb, 0.1 Ast	FR
