number	weight	playerName	hometown	pos	height	playerId	summary	class
44	182	Quinton Day	Kansas City, MO	G	73	quinton-day-1	20.3 Pts, 3.6 Reb, 4.8 Ast	JR
23	225	Dee Ayuba	Oklahoma City, OK	F	78	dee-ayuba-1	14.2 Pts, 6.7 Reb, 1.3 Ast	JR
22	190	Tim Blackwell	Cameron, MO	G	76	tim-blackwell-2	11.4 Pts, 3.2 Reb, 2.8 Ast	JR
11	245	Kalu Guasco		F	80	kalu-guasco-1	8.8 Pts, 4.0 Reb, 0.6 Ast	SR
15	210	Brent Stephens	Jay, OK	F	78	brent-stephens-1	5.7 Pts, 2.3 Reb, 0.7 Ast	SO
3	195	Dane Brumagin	Montgomery City, MO	F	76	dane-brumagin-1	4.5 Pts, 2.0 Reb, 0.6 Ast	FR
33	230	Brian Gettinger	Overland Park, KS	F	81	brian-gettinger-1	3.3 Pts, 1.5 Reb, 0.3 Ast	SO
54	245	Kyle Spears	Olathe, KS	C	81	kyle-spears-1	2.3 Pts, 3.5 Reb, 0.2 Ast	JR
45	225	Blake Crawford	Overland Park, KS	F	80	blake-crawford-1	2.0 Pts, 2.5 Reb, 0.3 Ast	JR
21	185	Mark Huppe	Overland Park, KS	G	74	mark-huppe-1	2.3 Pts, 0.6 Reb, 0.8 Ast	SR
4	215	Jeremiah Hartsock	Bartlesville, OK	F	81	jeremiah-hartsock-1	2.1 Pts, 2.1 Reb, 0.4 Ast	SO
41	250	Alex Pledger		C	85	alex-pledger-1	0.9 Pts, 1.2 Reb, 0.2 Ast	FR
32	215	Jakub Jurczak		F	82	jakub-jurczak-1	0.0 Pts, 0.4 Reb, 0.0 Ast	FR
