number	weight	playerName	hometown	pos	height	playerId	summary	class
41	210	Tyrone Nelson	Hempstead, TX	F	82	tyrone-nelson-2	17.8 Pts, 8.7 Reb, 1.6 Ast	SO
12	190	Elijah Ingram	Orange, NJ	G	72	elijah-ingram-1	13.4 Pts, 2.9 Reb, 3.1 Ast	JR
2	170	Mike Mitchell	San Antonio, TX	G	72	mike-mitchell-3	12.2 Pts, 3.7 Reb, 2.6 Ast	SR
5	220	David Fisher	Dallas, TX	F	78	david-fisher-2	8.8 Pts, 6.3 Reb, 0.9 Ast	JR
11	180	Shaun Davis	San Diego, CA	G	71	shaun-davis-1	7.2 Pts, 2.6 Reb, 2.4 Ast	JR
14	180	Ted Knauber	Albuquerque, NM	G	75	ted-knauber-1	6.7 Pts, 2.2 Reb, 0.9 Ast	JR
34	250	Kevin Ford	Portland, OR	F	81	kevin-ford-1	3.4 Pts, 3.8 Reb, 0.2 Ast	FR
4	225	Trevor Lawrence		C	83	trevor-lawrence-1	2.5 Pts, 1.5 Reb, 0.0 Ast	SR
0	220	Supo Jegede	Aurora, CO	F	80	supo-jegede-1	2.2 Pts, 1.5 Reb, 0.0 Ast	JR
3	200	Shon Caston	Ducanville, TX	G	77	shon-caston-1	1.0 Pts, 0.6 Reb, 0.3 Ast	SO
33	185	Jalen Dominguez	Albuquerque, NM	G	74	jalen-dominguez-1	1.3 Pts, 0.0 Reb, 0.0 Ast	SO
34	165	Chris Hall	Clovis, NM	G	69	chris-hall-1	0.0 Pts, 0.2 Reb, 0.0 Ast	JR
33	190	Conrad Ley	Sante Fe, NM	G	75	conrad-ley-1	0.0 Pts, 0.0 Reb, 0.0 Ast	SO
