number	weight	playerName	hometown	pos	height	playerId	summary	class
1	190	Lorenzo Miles	Washington, DC	G	72	lorenzo-miles-1	15.1 Pts, 3.9 Reb, 3.3 Ast	JR
33	225	Clif Brown	Ferndale, MI	F	79	clif-brown-2	14.6 Pts, 8.2 Reb, 1.3 Ast	JR
24	230	Charron Fisher	Pennsauken, NJ	F	75	charron-fisher-1	18.3 Pts, 7.9 Reb, 1.7 Ast	SO
13	220	J.R. Duffey	Ft Worth, TX	F	80	jr-duffey-1	11.8 Pts, 6.4 Reb, 1.7 Ast	JR
12	235	James Mathis	Newark, NJ	F	78	james-mathis-2	11.4 Pts, 6.5 Reb, 0.9 Ast	SR
3	185	Barry Durosier	Orlando, FL	G	73	barry-durosier-1	4.8 Pts, 1.9 Reb, 1.8 Ast	JR
0	190	Stanley Hodge	Washington, DC	G	74	stanley-hodge-1	3.3 Pts, 1.9 Reb, 3.8 Ast	SO
35	210	Greg Noel		F	79	greg-noel-1	1.2 Pts, 0.8 Reb, 0.1 Ast	JR
44	235	Michael Moberg	Plymouth, CT	F	81	michael-moberg-1	0.4 Pts, 0.9 Reb, 0.0 Ast	FR
40	0	Dave Houle				dave-houle-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
4	0	Sean Mahany				sean-mahany-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
