number	weight	playerName	hometown	pos	height	playerId	summary	class
32	225	Todd Peterson	Pekin, IL	G	79	todd-peterson-1	12.1 Pts, 5.8 Reb, 1.5 Ast	SR
22	185	Cory Sims	Livingston, AL	G	73	cory-sims-1	9.4 Pts, 3.7 Reb, 4.5 Ast	SR
41	217	James Hughes	Silvis, IL	C	83	james-hughes-1	9.6 Pts, 3.6 Reb, 0.2 Ast	JR
23	210	Mike McKinney	Evanston, IL	G	75	mike-mckinney-1	9.2 Pts, 3.7 Reb, 2.2 Ast	JR
3	165	Anthony Maestranzi	Bartlett, IL	G	70	anthony-maestranzi-1	7.7 Pts, 2.3 Reb, 2.6 Ast	SR
33	205	Ben Rand	Rochelle, IL	G	78	ben-rand-2	7.7 Pts, 2.8 Reb, 1.4 Ast	JR
23	199	Zach Pancratz	Schaumburg, IL	G	77	zach-pancratz-1	5.7 Pts, 2.4 Reb, 1.3 Ast	SO
10	168	Ryan Paradise	Naperville, IL	G	72	ryan-paradise-1	4.8 Pts, 1.7 Reb, 1.2 Ast	JR
50	250	Craig Reichel	Schaumburg, IL	F	80	craig-reichel-1	4.8 Pts, 2.8 Reb, 1.2 Ast	SO
45	230	Bryson McKenzie	Gary, IN	C	82	bryson-mckenzie-1	2.6 Pts, 1.6 Reb, 0.1 Ast	SR
1	180	Quintan Lipkins	Houston, TX	G	69	quintan-lipkins-1	1.4 Pts, 0.4 Reb, 0.5 Ast	FR
