number	weight	playerName	hometown	pos	height	playerId	summary	class
34	260	Terence Dials	Youngstown, OH	F	81	terence-dials-1	15.2 Pts, 8.0 Reb, 0.6 Ast	SR
23	210	Je'Kel Foster	Natchez, MS	G	75	jekel-foster-1	12.2 Pts, 4.3 Reb, 3.1 Ast	SR
12	200	Ron Lewis	Columbus, OH	G	76	ron-lewis-1	11.2 Pts, 3.2 Reb, 1.4 Ast	JR
0	215	J.J. Sullinger	Columbus, OH	G	77	jj-sullinger-1	10.1 Pts, 7.0 Reb, 1.5 Ast	SR
14	185	Jamar Butler	Lima, OH	G	74	jamar-butler-1	10.1 Pts, 3.3 Reb, 4.6 Ast	SO
40	230	Matt Sylvester	Loveland, OH	F	79	matt-sylvester-1	7.4 Pts, 2.7 Reb, 2.8 Ast	SR
3	220	Ivan Harris	Springfiled, OH	F	80	ivan-harris-1	3.6 Pts, 0.7 Reb, 0.0 Ast	JR
32	190	Sylvester Mayes	Fort Wayne, IN	G	72	sylvester-mayes-1	4.2 Pts, 0.9 Reb, 1.9 Ast	JR
42	245	Matt Terwilliger	Troy, OH	F	81	matt-terwilliger-1	2.3 Pts, 1.6 Reb, 0.4 Ast	SO
21	240	Brayden Bell	Brighton, UT	C	81	brayden-bell-1	1.4 Pts, 2.3 Reb, 0.1 Ast	FR
33	185	Samuel Payne	Columbus, OH	G	74	samuel-payne-1	0.5 Pts, 0.2 Reb, 0.0 Ast	FR
