number	weight	playerName	hometown	pos	height	playerId	summary	class
42	233	Matt Kiefer	Evansville, IN	F	82	matt-kiefer-1	12.0 Pts, 7.5 Reb, 1.8 Ast	SR
14	190	Chris Lutz	Bedford, NH	G	75	chris-lutz-1	9.2 Pts, 2.2 Reb, 1.7 Ast	FR
23	214	Marcus White	Chicago, IL	F	80	marcus-white-1	10.1 Pts, 4.0 Reb, 1.0 Ast	FR
5	180	Bryant Dillon	Indianapolis, IN	G	78	bryant-dillon-1	6.9 Pts, 3.5 Reb, 3.0 Ast	SR
33	245	Gary Ware	Detroit, MI	F	81	gary-ware-1	7.3 Pts, 3.3 Reb, 0.7 Ast	SR
20	224	Marcus Green	Franklin Park, IL	G	78	marcus-green-1	5.5 Pts, 2.5 Reb, 0.9 Ast	FR
11	180	Korey Spates	Warrensville, OH			korey-spates-1	10.1 Pts, 2.5 Reb, 1.7 Ast	FR
22	260	Nate Minnoy	Chicago, IL	F	75	nate-minnoy-1	10.2 Pts, 5.1 Reb, 2.4 Ast	FR
14	248	Carl Landry	Milwaukee, WI	F	81	carl-landry-1	15.2 Pts, 5.2 Reb, 1.0 Ast	SR
31	198	Chris Hartley	Noblesville, IN	G	76	chris-hartley-1	1.8 Pts, 1.4 Reb, 1.8 Ast	JR
11	169	Bobby Riddell	Lafayette, IN	G	69	bobby-riddell-1	2.1 Pts, 0.5 Reb, 0.5 Ast	FR
32	241	Matt Carroll	Aurora, CO	F	80	matt-carroll-2	1.0 Pts, 1.2 Reb, 0.1 Ast	SR
24	213	Dwayne Pruitt	Gary, IN			dwayne-pruitt-1	1.0 Pts, 1.0 Reb, 0.0 Ast	FR
