number	weight	playerName	hometown	pos	height	playerId	summary	class
10	190	Abdulai Jalloh	District Heights, MD	G	74	abdulai-jalloh-1	15.0 Pts, 5.5 Reb, 2.6 Ast	SO
13	195	Chet Stachitas	Ponte Vedra Beach, FL	G	77	chet-stachitas-1	13.3 Pts, 2.5 Reb, 2.2 Ast	SR
52	230	Rob Ferguson	Fort Myers, FL	F	80	rob-ferguson-1	10.8 Pts, 4.4 Reb, 1.6 Ast	SO
5	180	Dwayne Lee	Jersey City, NJ	G	72	dwayne-lee-1	10.6 Pts, 3.3 Reb, 4.3 Ast	SR
34	242	Ahmad Nivins	Jersey City, NJ	F	81	ahmad-nivins-1	6.1 Pts, 5.0 Reb, 0.3 Ast	FR
12	210	Pat Calathes	Casselberry, FL	G	82	pat-calathes-1	4.8 Pts, 3.5 Reb, 1.8 Ast	SO
40	240	Dave Mallon	East Aurora, NY	F	82	dave-mallon-1	4.1 Pts, 3.3 Reb, 0.5 Ast	SR
55	245	Alvin Mofunanya	Englewood, NJ	F	80	alvin-mofunanya-1	1.4 Pts, 1.1 Reb, 0.1 Ast	FR
22	205	Edwin Lashley	Salisbury, MD	G	76	edwin-lashley-1	1.0 Pts, 0.1 Reb, 0.3 Ast	FR
11	235	Artur Surov		C	85	artur-surov-1	1.1 Pts, 0.8 Reb, 0.1 Ast	JR
23	195	Jordan Fowler	Montclair, NJ	G	77	jordan-fowler-1	2.2 Pts, 1.5 Reb, 0.5 Ast	FR
15	180	Pete Kathopoulis	Upper Darby, PA	G	71	pete-kathopoulis-1	0.3 Pts, 0.2 Reb, 0.1 Ast	SO
33	186	Marcus Mitchell	Philadelphia, PA	F	77	marcus-mitchell-1	0.0 Pts, 0.3 Reb, 0.0 Ast	FR
3	180	Rob Sullivan	Philadelphia, PA	G	73	rob-sullivan-1	0.0 Pts, 1.0 Reb, 0.3 Ast	SR
