number	weight	playerName	hometown	pos	height	playerId	summary	class
15	270	Ian Vouyoukas		C	82	ian-vouyoukas-1	13.9 Pts, 7.4 Reb, 1.7 Ast	JR
21	190	Kevin Lisch	Belleville HS, IL	G	74	kevin-lisch-1	11.1 Pts, 2.4 Reb, 1.3 Ast	FR
25	195	Tommie Liddell	East St. Louis, IL	G	76	tommie-liddell-1	10.3 Pts, 6.9 Reb, 2.7 Ast	FR
20	205	Anthony Drejaj	West Orange, NJ	G	74	anthony-drejaj-1	7.8 Pts, 2.8 Reb, 2.2 Ast	SR
1	200	Danny Brown	Houston, TX	G	76	danny-brown-2	4.7 Pts, 2.0 Reb, 1.2 Ast	SO
0	165	Dwayne Polk	Saint Louis, MO	G	70	dwayne-polk-1	3.6 Pts, 1.4 Reb, 1.8 Ast	SO
32	200	Luke Meyer	New Haven, MO	F	77	luke-meyer-1	3.9 Pts, 2.4 Reb, 0.8 Ast	SO
33	220	Vas'Shun Newborne	Natchez, MS	F	78	vasshun-newborne-1	2.8 Pts, 2.1 Reb, 0.3 Ast	SR
23	230	Justin Johnson	Merrillville, IN	F	80	justin-johnson-3	2.9 Pts, 2.7 Reb, 0.4 Ast	JR
44	260	Bryce Husak	Mt. Vernon, IA	C	84	bryce-husak-1	1.3 Pts, 1.1 Reb, 0.1 Ast	SO
2	220	Wendell Bennett	Brooklyn, NY	G	75	wendell-bennett-1	0.0 Pts, 1.0 Reb, 0.3 Ast	SO
13	175	Peyton Jacks	Dallas, TX	G	72	peyton-jacks-1	0.0 Pts, 1.0 Reb, 0.0 Ast	SO
