number	weight	playerName	hometown	pos	height	playerId	summary	class
42	235	Nick Lewis	Paradise Valley, AZ	F	82	nick-lewis-1	17.6 Pts, 5.0 Reb, 1.3 Ast	SR
14	175	Ross DeRogatis	Mansfield, TX	G	73	ross-derogatis-1	12.0 Pts, 2.3 Reb, 3.8 Ast	JR
32	210	Corey Belser	Spanaway, WA	F	78	corey-belser-1	11.5 Pts, 6.9 Reb, 2.0 Ast	SR
21	240	Gyno Pomare	Oceanside, CA	C	79	gyno-pomare-1	10.4 Pts, 5.0 Reb, 0.6 Ast	FR
1	200	Brandon Johnson	Houston, TX	G	72	brandon-johnson-3	9.3 Pts, 2.9 Reb, 4.1 Ast	FR
34	245	Nir Cohen		C	79	nir-cohen-1	7.1 Pts, 3.8 Reb, 1.0 Ast	JR
15	193	Ray Murdock	Phoenix, AZ	G	75	ray-murdock-1	5.1 Pts, 2.0 Reb, 1.5 Ast	FR
33	240	Theo White	Oakland, CA	F	76	theo-white-1	2.6 Pts, 2.8 Reb, 0.7 Ast	JR
13	190	Danny Brown	Olathe, KS	G	76	danny-brown-1	2.4 Pts, 0.6 Reb, 0.6 Ast	FR
45	180	Travis Smith	Orange, CA	G	75	travis-smith-3	1.0 Pts, 0.7 Reb, 0.7 Ast	JR
22	186	Kyle Price	Valencia, CA	G	74	kyle-price-1	0.8 Pts, 0.2 Reb, 0.2 Ast	JR
11	195	Mike Hubbard	Bellflower, CA	G	76	mike-hubbard-1	0.0 Pts, 0.0 Reb, 2.5 Ast	JR
