number	weight	playerName	hometown	pos	height	playerId	summary	class
11	185	Armondo Surratt	Oakland, CA	G	72	armondo-surratt-1	14.2 Pts, 2.5 Reb, 5.1 Ast	JR
25	225	Alan Wiggins	San Diego, CA	F	81	alan-wiggins-1	14.1 Pts, 8.3 Reb, 1.3 Ast	JR
21	210	Jerome Gumbs		G	77	jerome-gumbs-1	10.8 Pts, 5.5 Reb, 1.2 Ast	SR
44	260	Jason Wallace-Carter	Las Vegas, NV	C	81	jason-wallace-carter-1	8.5 Pts, 6.2 Reb, 2.1 Ast	SR
1	195	Dommanic Ingerson	Oakland, CA	G	76	dommanic-ingerson-1	7.9 Pts, 1.7 Reb, 0.8 Ast	SR
41	210	Danny Cavic	Tustin, CA	F	78	danny-cavic-1	5.4 Pts, 3.2 Reb, 0.7 Ast	SO
10	180	Drew Shiller	Burlingame, CA	G	72	drew-shiller-1	4.4 Pts, 1.2 Reb, 1.3 Ast	FR
15	235	Vince Polakovic		F	80	vince-polakovic-1	3.8 Pts, 1.5 Reb, 0.2 Ast	SO
44	225	Jesse Byrd	Oakland, CA	F	79	jesse-byrd-1	1.5 Pts, 3.0 Reb, 0.4 Ast	FR
42	220	Johnny Dukes	San Bernardino, CA	F	80	johnny-dukes-1	3.5 Pts, 2.0 Reb, 0.0 Ast	SR
32	190	Michael Bell	Los Angeles, CA	G	74	michael-bell-3	0.0 Pts, 0.2 Reb, 0.1 Ast	JR
23	240	James Morgan	Seattle, WA	C	81	james-morgan-1	0.0 Pts, 0.6 Reb, 0.0 Ast	FR
2	195	Sinqua Walls	Marina del Rey, CA	G	74	sinqua-walls-1	0.0 Pts, 0.2 Reb, 0.0 Ast	SO
