number	weight	playerName	hometown	pos	height	playerId	summary	class
2	195	Mario Jointer	Jackson, MS	G	75	mario-jointer-1	13.4 Pts, 4.5 Reb, 2.8 Ast	SR
3	185	Chey Christie	Hartford, CT	G		chey-christie-2	9.0 Pts, 4.1 Reb, 1.5 Ast	FR
10	205	Demetric Bennett	Albany, GA	G	77	demetric-bennett-1	8.8 Pts, 3.7 Reb, 1.2 Ast	FR
35	200	Richard Law	Houston, TX	F	78	richard-law-1	10.8 Pts, 4.4 Reb, 1.8 Ast	SR
1	215	Michael Phillips	Mobile, AL		78	michael-phillips-1	7.9 Pts, 3.5 Reb, 0.9 Ast	FR
11	180	Carlos Smith	College Park, GA	G	72	carlos-smith-1	7.1 Pts, 1.9 Reb, 2.9 Ast	JR
33	230	Jason McGriff	Palm Bay, FL			jason-mcgriff-1	5.9 Pts, 4.1 Reb, 0.4 Ast	FR
13	225	Leandro Buboltz		F	79	leandro-buboltz-1	4.6 Pts, 2.1 Reb, 0.5 Ast	FR
4	185	Jeffrey Collins	Birmingham, AL	G	76	jeffrey-collins-1	3.9 Pts, 1.8 Reb, 1.0 Ast	SR
14	185	Stephen Cowherd	Coral Springs, FL	G	73	stephen-cowherd-1	3.9 Pts, 1.2 Reb, 1.3 Ast	JR
4	215	Trajinski Grigsby	Nacogdoches, TX	F	78	trajinski-grigsby-1	1.2 Pts, 1.0 Reb, 0.1 Ast	FR
