number	weight	playerName	hometown	pos	height	playerId	summary	class
2	225	P.J. Tucker		F	77	pj-tucker-1	16.1 Pts, 9.5 Reb, 2.9 Ast	JR
23	240	LaMarcus Aldridge	Dallas, TX	F	83	lamarcus-aldridge-1	15.0 Pts, 9.2 Reb, 0.5 Ast	SO
1	190	Daniel Gibson		G	74	daniel-gibson-1	13.4 Pts, 3.6 Reb, 3.1 Ast	SO
12	185	Kenton Paulino	Los Angeles, CA	G	73	kenton-paulino-1	9.8 Pts, 2.3 Reb, 3.0 Ast	SR
22	235	Brad Buckman	Austin, TX	F	80	brad-buckman-1	9.5 Pts, 7.0 Reb, 1.4 Ast	SR
3	161	A.J. Abrams	Round Rock, TX	G	71	aj-abrams-1	6.4 Pts, 1.5 Reb, 3.0 Ast	FR
21	240	Mike Williams	Camden, AL	F	79	mike-williams-5	2.3 Pts, 3.1 Reb, 0.3 Ast	SO
32	228	Connor Atchley	Clear Lake, TX	C	82	connor-atchley-1	2.3 Pts, 1.4 Reb, 0.1 Ast	FR
4	173	J.D. Lewis	Amarillo, TX	G	73	jd-lewis-1	2.1 Pts, 0.7 Reb, 0.4 Ast	SO
30	190	Craig Winder	Hebron, MD	G	74	craig-winder-1	1.0 Pts, 1.2 Reb, 0.5 Ast	JR
1	205	Dion Dowell	Texas City, TX	F	79	dion-dowell-1	3.0 Pts, 2.3 Reb, 1.3 Ast	SO
