number	weight	playerName	hometown	pos	height	playerId	summary	class
1	194	Justin Gray	Charlotte, NC	G	74	justin-gray-1	18.2 Pts, 3.6 Reb, 4.3 Ast	SR
31	280	Eric Williams	Wake Forest, NC	C	81	eric-williams-5	16.3 Pts, 8.9 Reb, 1.0 Ast	SR
33	216	Trent Strickland	East Flat Rock, NC	G	77	trent-strickland-1	11.6 Pts, 6.7 Reb, 1.9 Ast	SR
4	195	Harvey Hale	Albuquerque, NM	G	74	harvey-hale-1	5.6 Pts, 2.5 Reb, 2.0 Ast	FR
34	204	Michael Drum	Rural Hall, NC	F	78	michael-drum-1	5.5 Pts, 1.4 Reb, 1.9 Ast	JR
0	267	Chris Ellis	Marietta, GA	F	81	chris-ellis-2	5.6 Pts, 4.3 Reb, 0.6 Ast	SR
55	244	Kyle Visser	Grand Rapids, MI	C	83	kyle-visser-1	5.0 Pts, 4.3 Reb, 1.0 Ast	JR
23	224	Kevin Swinton	Greensboro, NC	F	79	kevin-swinton-1	2.8 Pts, 3.5 Reb, 0.2 Ast	FR
11	225	Cameron Stanley	Raleigh, NC	F	79	cameron-stanley-1	2.6 Pts, 2.2 Reb, 0.5 Ast	FR
2	175	Shamaine Dukes	Cuthbert, GA	G	73	shamaine-dukes-1	1.3 Pts, 0.8 Reb, 1.0 Ast	FR
52	225	Bobby Hoekstra	Lewisville, NC	F	79	bobby-hoekstra-1	1.0 Pts, 0.0 Reb, 0.0 Ast	FR
33	185	Matt Smith	Advance, NC	G	74	matt-smith-5	0.5 Pts, 0.0 Reb, 0.0 Ast	FR
10	201	John Buck	Westbury, NY	F	80	john-buck-1	0.0 Pts, 0.4 Reb, 0.1 Ast	SR
20	180	Mike Lepore	Flemington, NJ	G	73	mike-lepore-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
