number	weight	playerName	hometown	pos	height	playerId	summary	class
1	190	David Jackson	Memphis, TN	G	76	david-jackson-5	14.5 Pts, 3.9 Reb, 2.5 Ast	SO
5	230	Fred Oguns		F	79	fred-oguns-1	13.1 Pts, 5.1 Reb, 1.2 Ast	SR
34	210	NaVonta Kentle	Pine Bluff, AR	F	80	navonta-kentle-1	8.1 Pts, 4.1 Reb, 0.4 Ast	SO
10	175	Sammy Hunter	Huntsville, AL	G	75	sammy-hunter-1	8.0 Pts, 2.8 Reb, 2.5 Ast	JR
3	210	Eliz Cepeda		F	81	eliz-cepeda-1	5.8 Pts, 5.1 Reb, 0.8 Ast	SR
11	185	Troy Okeson	Weskan, KS	G	76	troy-okeson-1	8.9 Pts, 2.9 Reb, 1.4 Ast	JR
32	190	Chris Gonzalez	Chicago, IL	F	80	chris-gonzalez-1	4.0 Pts, 0.7 Reb, 0.5 Ast	SO
24	180	Nathan Koster	Lewistown, IL	G	72	nathan-koster-1	3.5 Pts, 1.7 Reb, 1.6 Ast	JR
15	180	Sean Blalock	Aurora, IL	G	74	sean-blalock-1	2.8 Pts, 2.6 Reb, 1.8 Ast	JR
5	195	Lorenzo Taylor	Alton, IL	F	78	lorenzo-taylor-1	1.6 Pts, 2.2 Reb, 0.2 Ast	FR
0	220	Marlon Mahorn	East Orange, NJ	F	79	marlon-mahorn-1	5.3 Pts, 2.1 Reb, 1.1 Ast	JR
33	240	Eze Samuel		C	82	eze-samuel-1	1.2 Pts, 2.2 Reb, 0.3 Ast	SO
45	190	Jeff Woodside	Bulrington, IA	F	79	jeff-woodside-1	1.5 Pts, 0.8 Reb, 0.1 Ast	JR
