number	weight	playerName	hometown	pos	height	playerId	summary	class
4	190	Calvin Baker	Newport News, VA	G	74	calvin-baker-1	11.6 Pts, 2.7 Reb, 3.6 Ast	FR
45	245	Corey Cofield	Newton, MA	F	78	corey-cofield-1	10.2 Pts, 4.7 Reb, 1.0 Ast	JR
11	190	Nathan Mann	Overland Park, KS	G	74	nathan-mann-1	7.8 Pts, 2.2 Reb, 1.6 Ast	SO
13	225	Laimis Kisielius		F	80	laimis-kisielius-1	7.1 Pts, 3.5 Reb, 1.5 Ast	SO
24	195	Adam Payton	Burlington, NJ	G	75	adam-payton-1	7.0 Pts, 2.5 Reb, 1.8 Ast	JR
22	220	Taylor Mokris	Charlotte, NC	G	78	taylor-mokris-1	5.1 Pts, 2.2 Reb, 1.3 Ast	SR
12	245	Brian Hutt	Denver, CO	F	81	brian-hutt-1	4.9 Pts, 4.2 Reb, 0.9 Ast	SR
15	235	Peter Stein	Houston, TX	F	81	peter-stein-1	4.0 Pts, 2.0 Reb, 0.7 Ast	FR
4	250	Alex Smith	Greenville, SC	F	77	alex-smith-1	2.6 Pts, 2.1 Reb, 0.1 Ast	FR
21	225	Hawley Smith	Jacksonville, FL	F	78	hawley-smith-1	2.8 Pts, 2.6 Reb, 0.8 Ast	SR
3	230	Chris Darnell	Stafford, VA	F	81	chris-darnell-1	2.6 Pts, 2.2 Reb, 0.6 Ast	FR
0	250	Nate Loehrke	Kalamazoo, MI	C	82	nate-loehrke-1	2.1 Pts, 1.2 Reb, 0.2 Ast	SR
3	190	Adam Trumbower	Roanoke, VA	G	75	adam-trumbower-1	0.6 Pts, 0.3 Reb, 0.2 Ast	JR
20	210	Kyle Carrabine	Naperville, IL	G	79	kyle-carrabine-1	1.1 Pts, 0.5 Reb, 0.0 Ast	SO
25	225	Chris Stratton	Burke, VA	F	78	chris-stratton-1	0.3 Pts, 0.7 Reb, 0.1 Ast	SO
