number	weight	playerName	hometown	pos	height	playerId	summary	class
2	205	Quin Humphrey	Ellenwood, GA	G	76	quin-humphrey-1	19.2 Pts, 8.3 Reb, 2.6 Ast	JR
34	200	Keston Roberts	Brooklyn, NY	G	76	keston-roberts-1	14.0 Pts, 2.9 Reb, 1.9 Ast	JR
25	194	Domonique Crawford	River Rouge, MI	G	76	domonique-crawford-1	10.8 Pts, 3.7 Reb, 1.1 Ast	SR
22	185	Derrick Harris	Cambridge, MA	G	74	derrick-harris-1	8.5 Pts, 3.5 Reb, 5.2 Ast	SR
1	220	John Barber	Detroit, MI	F	78	john-barber-1	7.0 Pts, 4.4 Reb, 1.0 Ast	SO
50	240	Jack Liles	Odenton, MD	F	80	jack-liles-1	3.3 Pts, 2.8 Reb, 0.3 Ast	FR
33	225	Colin LaForme		F	82	colin-laforme-1	3.0 Pts, 2.7 Reb, 0.5 Ast	SO
11	210	Dwight Holmes	Columbus, OH	F	78	dwight-holmes-1	1.3 Pts, 1.2 Reb, 0.3 Ast	JR
23	200	Mikko Niemi		G	74	mikko-niemi-1	1.0 Pts, 0.8 Reb, 0.5 Ast	FR
30	235	Alex Sanchez		F	80	alex-sanchez-1	1.2 Pts, 0.5 Reb, 0.1 Ast	SO
42	225	Mike Adams	Jacksonville, FL	C	83	mike-adams-1	0.8 Pts, 1.3 Reb, 0.1 Ast	SR
21	182	Brian Williams	Columbus, OH			brian-williams-6	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
