number	weight	playerName	hometown	pos	height	playerId	summary	class
5	215	Coby Karl	Mequon, WI	G	77	coby-karl-1	14.8 Pts, 4.1 Reb, 4.0 Ast	SR
24	224	Reggie Larry	Newark, NJ	F	78	reggie-larry-1	14.1 Pts, 8.1 Reb, 0.9 Ast	JR
22	232	Matt Nelson	Issaquah, WA	F	81	matt-nelson-1	13.5 Pts, 8.9 Reb, 1.5 Ast	JR
3	194	Eric Lane	Los Angeles, CA	G	73	eric-lane-1	9.9 Pts, 2.1 Reb, 2.2 Ast	SR
11	205	Anthony Thomas	Mansfield, TX	G	72	anthony-thomas-1	5.4 Pts, 1.7 Reb, 1.6 Ast	FR
4	209	Seth Robinson	Phoenix, AZ	F	78	seth-robinson-1	5.1 Pts, 3.5 Reb, 0.9 Ast	SR
20	212	Tyler Tiedeman	Santa Rosa, CA	G	79	tyler-tiedeman-1	4.4 Pts, 2.0 Reb, 1.2 Ast	JR
15	202	Matt Bauscher	Caldwell, ID	G	75	matt-bauscher-1	4.5 Pts, 1.8 Reb, 1.6 Ast	JR
2	178	Kenny Wilson	San Antonio, TX	G	76	kenny-wilson-1	4.3 Pts, 2.1 Reb, 0.8 Ast	SR
55	260	Colin Hallberg	Portland, OR	C	83	colin-hallberg-1	1.1 Pts, 1.9 Reb, 0.1 Ast	SO
50	260	Kurt Cunningham	Sharpsville, IN	C	81	kurt-cunningham-1	1.3 Pts, 1.5 Reb, 0.5 Ast	SO
14	194	Steve Tracy	Nampa, ID	G	73	steve-tracy-1	0.4 Pts, 0.1 Reb, 0.1 Ast	FR
