number	weight	playerName	hometown	pos	height	playerId	summary	class
24	190	Tyler Morris	Indianapolis, IN	G	74	tyler-morris-1	13.4 Pts, 3.0 Reb, 2.4 Ast	FR
13	200	Corey Lowe	Newton, MA	G	74	corey-lowe-1	14.1 Pts, 3.8 Reb, 2.7 Ast	FR
22	215	Carlos Strong	Portland, ME	G	75	carlos-strong-1	9.5 Pts, 3.0 Reb, 1.1 Ast	FR
21	276	Omari Peterkin		C	80	omari-peterkin-1	8.0 Pts, 6.4 Reb, 0.5 Ast	SR
31	221	Scott Brittain		F	81	scott-brittain-1	7.0 Pts, 6.0 Reb, 1.0 Ast	FR
5	158	Brian Macon	Boynton Beach, FL	G	69	brian-macon-1	4.6 Pts, 2.1 Reb, 2.4 Ast	SR
1	205	Ibrahim Konate		F	80	ibrahim-konate-1	2.6 Pts, 2.9 Reb, 0.2 Ast	SO
15	215	Valdas Sirutis		F	79	valdas-sirutis-1	2.0 Pts, 1.8 Reb, 0.3 Ast	FR
32	170	Marques Johnson	Hazlet, NJ	G	71	marques-johnson-4	1.8 Pts, 1.1 Reb, 1.3 Ast	SO
34	185	Sherrod Smith	Milwaukee, WI	F	76	sherrod-smith-1	1.8 Pts, 0.7 Reb, 0.6 Ast	FR
20	197	Tunde Agboola	Springfield, MA	G	76	tunde-agboola-1	0.0 Pts, 0.6 Reb, 0.0 Ast	FR
