number	weight	playerName	hometown	pos	height	playerId	summary	class
		Tyrone Hamilton		G	74	tyrone-hamilton-1	15.8 Pts, 3.0 Reb, 3.3 Ast	SO
		Alexander Starr		F	77	alexander-starr-1	14.5 Pts, 5.9 Reb, 3.0 Ast	SR
		Larry Logan		F	78	larry-logan-1	10.3 Pts, 5.1 Reb, 1.3 Ast	SR
		Nick Stallings		G	74	nick-stallings-1	8.5 Pts, 3.2 Reb, 1.6 Ast	SO
	190	Chase Adams	Baltimore, MD	G	70	chase-adams-1	5.7 Pts, 2.9 Reb, 3.1 Ast	FR
		Lance Hill		F	79	lance-hill-1	5.5 Pts, 2.4 Reb, 0.3 Ast	SO
		Bryan Baumann		G	74	bryan-baumann-1	8.3 Pts, 1.7 Reb, 0.9 Ast	SO
		Jerrald Bonham		F	80	jerrald-bonham-1	2.3 Pts, 2.6 Reb, 0.4 Ast	FR
		Jeff Montague		F	77	jeff-montague-1	1.9 Pts, 1.6 Reb, 0.1 Ast	FR
		Iman Shokouhizadeh		G	78	iman-shokouhizadeh-1	2.2 Pts, 0.8 Reb, 0.1 Ast	JR
		Xabi Zusperreguy		F	80	xabi-zusperreguy-1	0.4 Pts, 0.4 Reb, 0.0 Ast	JR
		Travis Hill		G	72	travis-hill-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
