number	weight	playerName	hometown	pos	height	playerId	summary	class
35	240	J'Nathan Bullock	Flint, MI	F	77	jnathan-bullock-1	13.5 Pts, 6.5 Reb, 1.2 Ast	SO
34	214	Raheem Moss	Columbus, OH	G	76	raheem-moss-1	10.6 Pts, 4.2 Reb, 1.5 Ast	SR
21	180	Joe Davis	Warrensville, OH	G	72	joe-davis-1	9.2 Pts, 2.0 Reb, 0.7 Ast	FR
21	223	Patrick Tatham		F	78	patrick-tatham-1	5.6 Pts, 4.8 Reb, 1.1 Ast	SR
5	176	Victor Morris	Inkster, MI	G	73	victor-morris-1	7.5 Pts, 2.5 Reb, 2.1 Ast	SR
11	160	Bahaadar Russell	Phoenix, AZ	G	74	bahaadar-russell-1	6.9 Pts, 1.7 Reb, 1.3 Ast	SO
1	157	Carlos English	Detroit, MI	G	68	carlos-english-1	8.6 Pts, 2.3 Reb, 4.1 Ast	SR
5	210	Kevin Francis		F	80	kevin-francis-1	6.2 Pts, 4.4 Reb, 0.8 Ast	JR
13	170	Breyhon Watson	Flint, MI	G	75	breyhon-watson-1	2.3 Pts, 1.0 Reb, 1.2 Ast	JR
45	220	Renard Fields	Washington, DC	C	80	renard-fields-1	2.0 Pts, 2.9 Reb, 0.2 Ast	SO
3	180	Tristan Crawford	Steelton, PA	F	76	tristan-crawford-1	1.6 Pts, 1.3 Reb, 0.3 Ast	SO
40	215	Luke Murphy	Hampton, VA	F	81	luke-murphy-1	1.5 Pts, 1.2 Reb, 0.2 Ast	JR
20	160	Greg Vlosich	Lakewood, OH	G	72	greg-vlosich-1	0.2 Pts, 0.2 Reb, 0.2 Ast	JR
