number	weight	playerName	hometown	pos	height	playerId	summary	class
15	225	Frank Elegar	Bronx, NY	C	81	frank-elegar-1	16.0 Pts, 6.7 Reb, 0.7 Ast	JR
23	200	Dominick Mejia	Voorhees, NJ	G	76	dominick-mejia-1	11.8 Pts, 3.6 Reb, 1.4 Ast	SR
5	185	Bashir Mason	Jersey City, NJ	G	72	bashir-mason-1	11.2 Pts, 2.7 Reb, 3.4 Ast	SR
3	200	Scott Rodgers	Philadelphia, PA	G	75	scott-rodgers-1	8.0 Pts, 2.7 Reb, 2.8 Ast	SO
0	180	Tramayne Hawthorne	Steelton, PA	G	73	tramayne-hawthorne-1	7.3 Pts, 2.6 Reb, 1.8 Ast	SO
20	235	Chaz Crawford	Philadelphia, PA	F	82	chaz-crawford-1	6.8 Pts, 9.3 Reb, 1.6 Ast	SR
25	225	Randy Oveneke		F	79	randy-oveneke-1	3.6 Pts, 2.6 Reb, 0.6 Ast	JR
42	240	Kenny Tribbett	Berlin, NJ	F	81	kenny-tribbett-1	1.7 Pts, 1.4 Reb, 0.1 Ast	FR
44	235	Matt Stevenson	Towson, MD	F	79	matt-stevenson-1	1.4 Pts, 0.9 Reb, 0.3 Ast	SR
20	205	Lance Feurtado	Long Island, NY	G	78	lance-feurtado-1	1.1 Pts, 0.1 Reb, 0.1 Ast	FR
1	200	Rob Hampton	Queens, NY	G	76	rob-hampton-1	0.6 Pts, 0.4 Reb, 0.0 Ast	FR
1	245	Yannick Formbor	Roselle, NJ	F	80	yannick-formbor-1	1.0 Pts, 1.0 Reb, 0.0 Ast	FR
1	180	Bobby Jordan	Philadelphia, PA	G	72	bobby-jordan-1	0.2 Pts, 0.0 Reb, 0.0 Ast	SO
14	170	Bill Lally	Philadelphia, PA	G	72	bill-lally-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
21	170	Jake Rauchbach	Chapel Hill, NC	G	71	jake-rauchbach-1	0.0 Pts, 0.0 Reb, 0.0 Ast	SR
