number	weight	playerName	hometown	pos	height	playerId	summary	class
10	185	Romain Martin	Minneapolis, MN	G	74	romain-martin-1	14.8 Pts, 2.0 Reb, 0.9 Ast	FR
14	200	Bobby Catchings	Naperville, IL	G	78	bobby-catchings-1	10.1 Pts, 5.1 Reb, 1.4 Ast	JR
23	185	Mike Robinson	Chicago, IL	G	71	mike-robinson-1	10.0 Pts, 4.1 Reb, 3.6 Ast	SO
41	230	Jake Byrne	Elsberry, MO	C	80	jake-byrne-1	7.7 Pts, 4.1 Reb, 1.2 Ast	JR
45	250	Ousmane Cisse		C	80	ousmane-cisse-1	5.9 Pts, 6.3 Reb, 0.9 Ast	FR
13	180	Jon'Tee Willhite	Kalamazoo, MI	G	73	jontee-willhite-1	5.1 Pts, 3.2 Reb, 2.1 Ast	JR
12	213	Billy Parrish	Naperville, IL	F	76	billy-parrish-1	2.2 Pts, 2.5 Reb, 0.6 Ast	SO
30	240	Justin Brock	Quincy, IL	F	80	justin-brock-1	2.1 Pts, 1.4 Reb, 0.3 Ast	FR
5	190	Gino Myers-Kyles	Mobile, AL	G	76	gino-myers-kyles-1	2.0 Pts, 1.0 Reb, 0.3 Ast	JR
15	190	Julio Anthony	Charlotte, NC	G	76	julio-anthony-1	2.8 Pts, 0.3 Reb, 0.7 Ast	JR
54	215	Bobby Jolliff	Hartsville, IN	F	80	bobby-jolliff-1	1.4 Pts, 1.5 Reb, 0.5 Ast	FR
24	0	Ryan Voss				ryan-voss-1	0.1 Pts, 0.6 Reb, 0.0 Ast	FR
23	155	Freddie Perry	East St. Louis, IL	G	69	freddie-perry-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
