number	weight	playerName	hometown	pos	height	playerId	summary	class
1	185	Le'Vonn Jordan	Murfreesboro, NC	G	78	levonn-jordan-1	14.5 Pts, 6.5 Reb, 2.1 Ast	SR
10	185	Brett James	Richmond, VA	G	77	brett-james-1	12.2 Pts, 4.1 Reb, 1.5 Ast	SO
32	220	Chris Chalko	Mishawaka, IN	F	80	chris-chalko-1	10.7 Pts, 4.0 Reb, 0.6 Ast	SR
23	220	Ola Atoyebi	Chicago, IL	F	80	ola-atoyebi-1	5.9 Pts, 4.7 Reb, 0.4 Ast	SO
5	175	Devan Carter	Cascade, VA	G	72	devan-carter-1	5.7 Pts, 1.6 Reb, 1.6 Ast	FR
1	185	Brian Waters	Chapel Hill, NC	G	74	brian-waters-1	5.1 Pts, 2.2 Reb, 3.1 Ast	JR
33	245	Scott Grable	Montpelier, VA	F	81	scott-grable-1	4.5 Pts, 4.0 Reb, 0.7 Ast	FR
32	228	Adam Constantine	Raleigh, NC	F	80	adam-constantine-1	2.6 Pts, 2.5 Reb, 0.1 Ast	FR
20	211	Jon Ogolo	Vienna, VA	G	74	jon-ogolo-1	2.8 Pts, 1.1 Reb, 0.7 Ast	FR
14	190	John Charlesworth	Raleigh, NC	G	73	john-charlesworth-1	1.6 Pts, 0.5 Reb, 1.1 Ast	FR
44	211	T.J. Douglas	St. Albans, WV	F	78	tj-douglas-1	1.9 Pts, 1.1 Reb, 0.1 Ast	FR
