number	weight	playerName	hometown	pos	height	playerId	summary	class
5	175	Omni Smith	Chicago, IL	G	75	omni-smith-1	13.9 Pts, 2.6 Reb, 3.6 Ast	SR
21	190	Mike Scott	Indianapolis, IN	F	79	mike-scott-2	9.4 Pts, 6.4 Reb, 1.0 Ast	JR
25	185	Armon Gates	Country Club Hills, IL	G	74	armon-gates-1	9.2 Pts, 3.2 Reb, 1.0 Ast	SR
34	230	Julian Sullinger	Columbus, OH	F	77	julian-sullinger-1	8.1 Pts, 3.6 Reb, 0.7 Ast	SO
1	220	Haminn Quaintance	Sarasota, FL	F	80	haminn-quaintance-1	8.2 Pts, 5.3 Reb, 2.0 Ast	JR
32	185	Rodriguez Sherman	Indianapolis, IN	G	75	rodriguez-sherman-1	5.7 Pts, 2.8 Reb, 0.8 Ast	FR
2	220	Chris Singletary	Chicago, IL	G	75	chris-singletary-1	6.0 Pts, 3.2 Reb, 1.9 Ast	FR
4	225	Isaac Knight	Detroit, MI	F	79	isaac-knight-1	4.3 Pts, 2.5 Reb, 0.2 Ast	SO
11	175	Jordan Mincy	Memphis, TN	G	70	jordan-mincy-1	3.2 Pts, 1.1 Reb, 3.6 Ast	SO
22	195	Mike McKee	Plum Borough, PA	G	77	mike-mckee-1	3.2 Pts, 1.1 Reb, 0.3 Ast	FR
55	265	Brandon Parks	Bunker Hill, IN	C	82	brandon-parks-1	1.7 Pts, 1.4 Reb, 0.3 Ast	FR
22	205	Rodney Williams	Los Angeles, CA	F	77	rodney-williams-1	0.6 Pts, 0.3 Reb, 0.1 Ast	FR
