number	weight	playerName	hometown	pos	height	playerId	summary	class
1	220	Terrence Williams	Seattle, WA	F	78	terrence-williams-1	12.4 Pts, 7.0 Reb, 3.8 Ast	SO
10	175	Edgar Sosa	New York, NY	G	74	edgar-sosa-1	11.4 Pts, 2.1 Reb, 2.6 Ast	FR
4	250	David Padgett	Reno, NV	C	83	david-padgett-1	9.5 Pts, 5.6 Reb, 1.5 Ast	JR
34	190	Jerry Smith	Wauwatosa, WI	G	75	jerry-smith-1	8.0 Pts, 3.6 Reb, 1.7 Ast	FR
3	250	Juan Palacios		F	80	juan-palacios-1	8.9 Pts, 5.5 Reb, 1.1 Ast	JR
5	225	Earl Clark	Plainfield, NJ	F	81	earl-clark-1	5.9 Pts, 3.8 Reb, 0.4 Ast	FR
11	185	Brandon Jenkins	Detroit, MI	G	75	brandon-jenkins-1	5.2 Pts, 2.4 Reb, 1.8 Ast	SR
4	275	Derrick Caracter	Fanwood, NJ	F	81	derrick-caracter-1	8.2 Pts, 3.8 Reb, 0.3 Ast	FR
20	185	Will Scott	New York, NY	G	76	will-scott-2	3.5 Pts, 0.9 Reb, 0.3 Ast	SO
33	180	Andre McGee	Moreno Valley, CA	G	71	andre-mcgee-1	2.6 Pts, 1.1 Reb, 1.3 Ast	SO
15	215	Perrin Johnson	Claremont, CA	G	77	perrin-johnson-1	1.6 Pts, 1.3 Reb, 0.4 Ast	SR
43	225	Terrance Farley	Louisville, KY	C	82	terrance-farley-1	1.0 Pts, 1.0 Reb, 0.1 Ast	JR
21	185	Chris Current	Frankfort, KY	G	76	chris-current-1	2.1 Pts, 0.4 Reb, 0.5 Ast	SR
30	235	Jonathan Huffman	Montgomery, AL	F	84	jonathan-huffman-2	1.1 Pts, 0.7 Reb, 0.3 Ast	SO
12	170	Brad Gianiny	Alpharretta, GA	G	73	brad-gianiny-1	0.7 Pts, 0.3 Reb, 0.4 Ast	SR
		David Caracter				david-caracter-1	6.0 Pts, 7.0 Reb, 0.0 Ast	FR
0	170	Stuart Miller	Harrogate, TN	G	72	stuart-miller-1	1.2 Pts, 0.6 Reb, 0.2 Ast	FR
