number	weight	playerName	hometown	pos	height	playerId	summary	class
21	215	Kevin Reed	Yarmouth, MA	G	77	kevin-reed-1	14.1 Pts, 6.0 Reb, 1.8 Ast	SR
5	170	Jon Sheets	Grass Valley, CA	G	73	jon-sheets-1	10.8 Pts, 2.4 Reb, 3.1 Ast	SR
4	218	Chris Bruff	Bloomfield, CT	G	75	chris-bruff-1	10.7 Pts, 5.9 Reb, 1.9 Ast	SR
12	200	Junior Bernal	Manhattan, NY	G	77	junior-bernal-1	9.9 Pts, 3.9 Reb, 2.8 Ast	FR
44	230	Philippe Tchekane Bofia		F	78	philippe-tchekane-bofia-1	7.4 Pts, 3.7 Reb, 0.6 Ast	SO
22	208	Mark Socoby	Houlton, ME	G	77	mark-socoby-1	6.9 Pts, 2.2 Reb, 1.3 Ast	FR
40	238	Olli Ahvenniemi		C	82	olli-ahvenniemi-1	2.8 Pts, 3.0 Reb, 0.2 Ast	SR
23	310	Brian Andre	Bingham, ME	F	81	brian-andre-2	3.3 Pts, 3.0 Reb, 0.3 Ast	JR
42	228	Christian Cavanaugh	Mill Valley, CA	F	82	christian-cavanaugh-1	1.9 Pts, 2.9 Reb, 0.4 Ast	SO
33	230	Jordan Cook	Hampden, ME	F	82	jordan-cook-1	0.7 Pts, 1.4 Reb, 0.0 Ast	FR
2	165	Jesse Keith	Levant, ME	G	70	jesse-keith-1	3.5 Pts, 1.5 Reb, 1.0 Ast	SO
31	190	Tyson Hartnett	Medford, NJ	G	78	tyson-hartnett-1	1.7 Pts, 1.0 Reb, 0.0 Ast	FR
