number	weight	playerName	hometown	pos	height	playerId	summary	class
2	201	D.J. Strawberry	Corona, CA	G	77	dj-strawberry-1	14.9 Pts, 4.4 Reb, 3.5 Ast	SR
23	200	Mike Jones	Dorchester, MA	G	77	mike-jones-2	13.8 Pts, 3.2 Reb, 1.4 Ast	SR
15	235	James Gist	Silver Spring, MD	F	81	james-gist-1	12.6 Pts, 7.2 Reb, 1.3 Ast	JR
25	215	Ekene Ibekwe	Carson, CA	F	81	ekene-ibekwe-1	10.4 Pts, 7.8 Reb, 0.8 Ast	SR
21	200	Greivis Vasquez		G	78	greivis-vasquez-1	9.8 Pts, 3.3 Reb, 4.6 Ast	FR
50	250	Bambale Osby	Richmond, VA	F	80	bambale-osby-1	5.8 Pts, 3.9 Reb, 0.5 Ast	JR
5	180	Eric Hayes	Woodbridge, VA	G	76	eric-hayes-1	4.8 Pts, 1.9 Reb, 3.9 Ast	FR
24	176	Parrish Brown	Chicago, IL	G	73	parrish-brown-1	3.1 Pts, 1.3 Reb, 0.9 Ast	SR
31	259	Will Bowers	Hanover, MD	C	85	will-bowers-1	2.2 Pts, 1.8 Reb, 0.3 Ast	SR
35	263	Dave Neal	McLean, VA	F	79	dave-neal-1	1.6 Pts, 1.2 Reb, 0.0 Ast	SO
1	205	Landon Milbourne	Roswell, GA	F	79	landon-milbourne-1	1.0 Pts, 0.8 Reb, 0.2 Ast	FR
33	210	Gini Chukura	Silver Spring, MD	F	77	gini-chukura-1	0.7 Pts, 0.6 Reb, 0.1 Ast	SR
10	198	Jason McAlpin	Silver Spring, MD	G	78	jason-mcalpin-1	0.8 Pts, 0.4 Reb, 0.0 Ast	JR
