number	weight	playerName	hometown	pos	height	playerId	summary	class
2	195	Chris Vann	Woodbridge, VA	G	73	chris-vann-1	13.6 Pts, 2.9 Reb, 1.4 Ast	JR
3	205	Mychal Kearse	Charlotte, NC	G	76	mychal-kearse-1	11.5 Pts, 5.9 Reb, 1.7 Ast	SR
1	170	Jeremy Goode	Charlotte, NC	G	69	jeremy-goode-1	10.1 Pts, 3.4 Reb, 5.0 Ast	FR
4	215	Gus Durr	Pasadena, MD	F	78	gus-durr-1	8.4 Pts, 3.8 Reb, 0.6 Ast	SR
11	215	Will Holland	Houston, TX	G	76	will-holland-1	5.5 Pts, 2.1 Reb, 0.5 Ast	FR
4	205	Kelly Beidler	Virginia Beach, VA	F	77	kelly-beidler-1	5.8 Pts, 3.2 Reb, 0.7 Ast	FR
40	240	Sam Atupem	Newport News, VA	F	79	sam-atupem-1	5.7 Pts, 3.4 Reb, 0.4 Ast	SO
45	245	Markus Mitchell	Virginia Beach, VA	F	79	markus-mitchell-1	4.9 Pts, 3.5 Reb, 1.2 Ast	SO
50	245	Jason Loughry	Odenton, MD	C	84	jason-loughry-1	1.8 Pts, 1.6 Reb, 0.1 Ast	JR
20	180	Guyvans Richard	Boynton Beach, FL	G	72	guyvans-richard-1	1.4 Pts, 0.6 Reb, 0.3 Ast	SR
31	225	Kirk Bunn	Brooklyn, NY	F	78	kirk-bunn-2	1.2 Pts, 1.1 Reb, 0.1 Ast	SR
22	170	Joey Butler	Ft. Washington, MD			joey-butler-1	6.5 Pts, 3.0 Reb, 5.0 Ast	FR
12	190	Gavin Coco	Lewes, DE	G	69	gavin-coco-1	0.1 Pts, 0.2 Reb, 0.0 Ast	FR
10	190	Nick Whitney	Nillsboro, NH	F	76	nick-whitney-1	0.1 Pts, 0.1 Reb, 0.0 Ast	SR
