number	weight	playerName	hometown	pos	height	playerId	summary	class
32	265	Vladimir Kuljanin		C	82	vladimir-kuljanin-1	13.6 Pts, 7.1 Reb, 0.7 Ast	JR
41	230	Todd Hendley	Sanford, NC	F	81	todd-hendley-1	11.1 Pts, 4.1 Reb, 1.1 Ast	JR
4	200	Daniel Fountain	Woodbridge, VA	G	76	daniel-fountain-1	10.0 Pts, 3.2 Reb, 1.7 Ast	JR
1	225	Montez Downey	Oxford, NC	G	77	montez-downey-1	8.1 Pts, 2.8 Reb, 1.0 Ast	FR
22	170	Temi Soyebo	Chicago, IL	G	72	temi-soyebo-1	7.2 Pts, 4.5 Reb, 5.9 Ast	SR
24	225	Jeff Horowitz	Charlotte, NC	F	81	jeff-horowitz-1	5.3 Pts, 3.5 Reb, 0.5 Ast	JR
30	200	Darryl Felder	Powder Springs, GA	G	74	darryl-felder-1	3.9 Pts, 1.6 Reb, 1.0 Ast	FR
31	230	Dejan Grkovic		F	80	dejan-grkovic-1	3.9 Pts, 4.4 Reb, 0.8 Ast	SR
12	205	Josh Sheets	West Lafayette, IN	G	76	josh-sheets-1	1.7 Pts, 1.0 Reb, 1.0 Ast	FR
23	165	Darion Jeralds	Winston-Salem, NC	G	73	darion-jeralds-1	0.7 Pts, 0.8 Reb, 1.0 Ast	FR
