number	weight	playerName	hometown	pos	height	playerId	summary	class
31	225	Vova Severovas		F	78	vova-severovas-1	14.3 Pts, 5.7 Reb, 2.2 Ast	SR
30	205	Erik Kangas	DeWitt, MI	G	75	erik-kangas-1	12.9 Pts, 2.4 Reb, 1.4 Ast	SO
50	275	Shawn Hopes	Detroit, MI	C	80	shawn-hopes-1	12.3 Pts, 5.1 Reb, 0.7 Ast	SR
1	236	Derick Nelson	Lansing, MI	F	77	derick-nelson-1	10.1 Pts, 7.2 Reb, 1.8 Ast	SO
23	160	Johnathon Jones	Okemos, MI	G	71	johnathon-jones-1	9.4 Pts, 2.7 Reb, 3.6 Ast	FR
15	220	Rick Billings	Detroit, MI	G	76	rick-billings-1	5.5 Pts, 3.1 Reb, 1.5 Ast	SR
12	207	Brandon Cassise	Walled Lake, MI	G	75	brandon-cassise-1	4.3 Pts, 0.9 Reb, 0.9 Ast	JR
44	229	Patrick McCloskey	Marshall, MI	F	80	patrick-mccloskey-1	0.7 Pts, 3.6 Reb, 0.6 Ast	JR
20	217	Shane Lawal	Southfield, MI	C	82	shane-lawal-1	0.7 Pts, 1.5 Reb, 0.2 Ast	SO
11	185	Keith MacKenzie	Macomb Township, MI	G	74	keith-mackenzie-1	0.7 Pts, 0.4 Reb, 0.4 Ast	SO
21	190	Ricky Bieszki	Shelby, MI	G	74	ricky-bieszki-1	0.0 Pts, 0.1 Reb, 0.0 Ast	SO
