number	weight	playerName	hometown	pos	height	playerId	summary	class
4	235	Mario Boggan	Durham, NC	F	78	mario-boggan-1	19.0 Pts, 7.6 Reb, 1.4 Ast	SR
24	190	JamesOn Curry	Pleasant Grove, NC	G	75	jameson-curry-1	17.3 Pts, 3.2 Reb, 3.7 Ast	JR
1	205	Terrel Harris	Dallas, TX	G	77	terrel-harris-1	10.0 Pts, 4.1 Reb, 1.9 Ast	SO
0	210	Byron Eaton	Dallas, TX	G	71	byron-eaton-1	7.7 Pts, 2.6 Reb, 3.6 Ast	SO
32	240	David Monds	Macon, GA	F	80	david-monds-1	6.7 Pts, 5.0 Reb, 0.9 Ast	SR
2	220	Obi Muonelo	Edmond, OK	G	77	obi-muonelo-1	10.1 Pts, 3.6 Reb, 1.8 Ast	FR
15	260	Kenny Cooper	Grambling, LA	C	82	kenny-cooper-1	4.7 Pts, 3.1 Reb, 0.4 Ast	SO
5	215	Marcus Dove	Long Beach, CA	G	81	marcus-dove-1	4.7 Pts, 4.5 Reb, 1.2 Ast	JR
10	215	Tyler Hatch	Fort Worth, TX	F	78	tyler-hatch-1	1.4 Pts, 1.2 Reb, 0.7 Ast	JR
12	220	Adarius Bowman	Chattanooga, TN			adarius-bowman-1	0.6 Pts, 0.8 Reb, 0.0 Ast	FR
