number	weight	playerName	hometown	pos	height	playerId	summary	class
15	170	Dupree Lucas	Wichita, KS	G	74	dupree-lucas-1	13.2 Pts, 3.2 Reb, 3.9 Ast	JR
21	190	Juma Kamara	Stockton, CA	F	78	juma-kamara-1	12.6 Pts, 4.0 Reb, 1.0 Ast	SR
44	250	Scott Morrison		C	83	scott-morrison-1	11.2 Pts, 6.5 Reb, 1.0 Ast	JR
2	195	Deonte Huff	Lancaster, CA	G	76	deonte-huff-1	10.7 Pts, 5.6 Reb, 1.8 Ast	JR
5	220	Paul Hafford	Lynden, WA	G	76	paul-hafford-1	10.0 Pts, 3.2 Reb, 1.2 Ast	SR
4	165	Ryan Sommer	Snohomish, WA	G	71	ryan-sommer-1	4.9 Pts, 2.3 Reb, 3.8 Ast	JR
1	225	Julius Thomas	Stockton, CA	F	77	julius-thomas-1	5.1 Pts, 2.8 Reb, 0.5 Ast	FR
30	245	Anthony Washington	Seattle, WA	C	81	anthony-washington-2	6.1 Pts, 4.5 Reb, 0.7 Ast	FR
34	165	Emmanuel Jenkins	Tacoma, WA	G	71	emmanuel-jenkins-1	2.8 Pts, 0.9 Reb, 1.3 Ast	FR
14	210	Kyle Coston	Lynden, WA	F	80	kyle-coston-1	3.0 Pts, 1.3 Reb, 0.6 Ast	FR
3	200	Sean Smith	Vancouver, WA	G	74	sean-smith-2	2.6 Pts, 1.3 Reb, 0.9 Ast	JR
12	165	Brian Curtis	Wichita, KS	G	71	brian-curtis-1	1.5 Pts, 0.2 Reb, 0.0 Ast	JR
13	235	Tyrell Mara		F	78	tyrell-mara-1	0.7 Pts, 0.7 Reb, 0.0 Ast	SO
