number	weight	playerName	hometown	pos	height	playerId	summary	class
23	199	Chris Oliver	Kernersville, NC	F	79	chris-oliver-1	18.8 Pts, 8.3 Reb, 2.1 Ast	SR
25	208	Reggie McIntyre	Piedmont, SC	F	77	reggie-mcintyre-1	12.9 Pts, 6.2 Reb, 1.5 Ast	SR
11	193	Amir Johnson	Pittsburgh, PA	G	69	amir-johnson-1	11.2 Pts, 4.0 Reb, 3.7 Ast	FR
24	182	Kenny Thomas	Richmond, VA	G	75	kenny-thomas-2	9.8 Pts, 3.9 Reb, 1.1 Ast	SO
4	187	Martell McDuffy	Laurel, MD	G	75	martell-mcduffy-1	9.0 Pts, 2.9 Reb, 1.4 Ast	SO
40	221	Joey Lynch-Flohr	Fairfax, VA	C	80	joey-lynch-flohr-1	2.9 Pts, 1.9 Reb, 0.3 Ast	FR
30	190	Philip Martin	Roanoke, VA	F	78	philip-martin-1	1.4 Pts, 1.1 Reb, 0.4 Ast	FR
31	190	Duane Ricks	Norfolk, VA	C	82	duane-ricks-1	1.3 Pts, 1.5 Reb, 0.1 Ast	JR
5	183	Jamal Dixon	Braintree, MA	G	74	jamal-dixon-1	2.1 Pts, 0.8 Reb, 0.4 Ast	SO
34	217	Alfonso Scandrett	Greensboro, NC	F	77	alfonso-scandrett-1	0.8 Pts, 0.9 Reb, 0.0 Ast	FR
54	278	Colby Trent	Richmond, VA	C	81	colby-trent-1	0.5 Pts, 0.8 Reb, 0.0 Ast	JR
10	180	Cole Wilder	Wytheville, VA	G	73	cole-wilder-1	0.5 Pts, 0.3 Reb, 0.5 Ast	FR
22	174	Tyler Kleckner	Moneta, VA	C	80	tyler-kleckner-1	1.0 Pts, 0.2 Reb, 0.0 Ast	JR
33	203	Eric Hall	Greensboro, NC	F	80	eric-hall-1	0.7 Pts, 0.6 Reb, 0.0 Ast	SO
