number	weight	playerName	hometown	pos	height	playerId	summary	class
12	190	Jarrid Frye	Maspeth, NY	G	75	jarrid-frye-1	13.3 Pts, 5.0 Reb, 2.7 Ast	SR
24	210	Joey Henley	Kent, WA	F	77	joey-henley-1	11.1 Pts, 4.5 Reb, 0.5 Ast	JR
50	205	Drew Shubik	Stoystown, PA	G	76	drew-shubik-1	9.8 Pts, 3.9 Reb, 4.0 Ast	JR
22	170	Chauncey Hardy	Middletown, CT	G	72	chauncey-hardy-1	10.6 Pts, 2.4 Reb, 2.8 Ast	FR
33	210	Luke Granato	Rocky Hill, CT	G	77	luke-granato-1	8.8 Pts, 1.0 Reb, 0.8 Ast	JR
2	190	Ryan Litke	Windsor, CT	G	75	ryan-litke-1	8.4 Pts, 2.1 Reb, 0.8 Ast	FR
44	235	Brice Brooks	Silverdale, WA	F	79	brice-brooks-1	9.9 Pts, 6.0 Reb, 0.4 Ast	JR
51	185	Tavio Hobson	Seattle, WA	G	72	tavio-hobson-2	5.4 Pts, 1.8 Reb, 2.8 Ast	SR
32	230	Liam Potter		C	84	liam-potter-1	4.7 Pts, 3.2 Reb, 0.3 Ast	SO
34	190	Eugene Pettway	Bridgeport, CT	G	78	eugene-pettway-1	1.1 Pts, 1.2 Reb, 0.2 Ast	JR
21	225	Ryon Howard	Bronx, NY	F	78	ryon-howard-1	10.0 Pts, 4.0 Reb, 2.0 Ast	JR
