number	weight	playerName	hometown	pos	height	playerId	summary	class
15	245	Sean Denison		C	83	sean-denison-1	10.8 Pts, 6.3 Reb, 1.3 Ast	SR
54	275	John Bryant	San Pablo, CA	C	82	john-bryant-1	10.4 Pts, 6.7 Reb, 0.6 Ast	SO
12	190	Scott Dougherty	Portland, OR	G	76	scott-dougherty-1	9.9 Pts, 3.2 Reb, 1.4 Ast	JR
23	160	Danny Pariseau	Spokane, WA	G	71	danny-pariseau-1	9.7 Pts, 3.1 Reb, 4.7 Ast	SR
5	195	Brody Angley	Redding, CA	G	71	brody-angley-1	8.3 Pts, 3.0 Reb, 3.8 Ast	JR
21	220	Mitch Henke	Minnetonka, MN	F	79	mitch-henke-1	6.9 Pts, 4.0 Reb, 1.4 Ast	JR
0	275	Josh Higgins	Dayton, OH	C	84	josh-higgins-1	4.4 Pts, 2.8 Reb, 0.3 Ast	JR
44	180	Joey Kaempf	Portland, OR	G	73	joey-kaempf-1	3.8 Pts, 1.2 Reb, 0.5 Ast	SR
3	200	Calvin Johnson	Morton, TX	G	74	calvin-johnson-1	2.5 Pts, 1.0 Reb, 0.4 Ast	SO
34	225	Tristan Parham	Dolton, IL	F	80	tristan-parham-1	2.2 Pts, 2.0 Reb, 0.2 Ast	SR
10	195	Brandon Rohe	San Juan Capistrano, CA	G	76	brandon-rohe-1	1.7 Pts, 1.1 Reb, 0.5 Ast	SR
31	190	Jonathan Gunderson	Laguna Hills, CA	G	76	jonathan-gunderson-1	1.5 Pts, 0.3 Reb, 0.5 Ast	FR
40	220	Cedric Latimer	Los Angeles, CA	F	77	cedric-latimer-1	0.8 Pts, 0.6 Reb, 0.1 Ast	FR
13	235	Okechukwu Mbanugo	Fremont, CA	F	81	okechukwu-mbanugo-1	0.5 Pts, 0.9 Reb, 0.0 Ast	SO
