number	weight	playerName	hometown	pos	height	playerId	summary	class
33	255	Michael Haddix	Vineland, NJ	C	79	michael-haddix-1	16.3 Pts, 7.5 Reb, 0.8 Ast	SR
41	194	Kenny Hasbrouck	Capitol Heights, MD	G	75	kenny-hasbrouck-1	16.0 Pts, 2.6 Reb, 2.6 Ast	SO
23	204	Edwin Ubiles	Poughkeepsie, NY	F	79	edwin-ubiles-1	11.8 Pts, 4.0 Reb, 2.3 Ast	FR
42	226	Alex Franklin	Reading, PA	F	77	alex-franklin-1	8.3 Pts, 4.9 Reb, 1.3 Ast	FR
34	220	David Ryan	Eastchester, NY	F	79	david-ryan-1	7.5 Pts, 4.8 Reb, 1.5 Ast	SR
25	156	Ronald Moore	Conshohocken, PA	G	72	ronald-moore-1	7.4 Pts, 3.5 Reb, 4.9 Ast	FR
4	162	Tay Fisher	Kingston, NY	G	69	tay-fisher-1	5.0 Pts, 0.8 Reb, 0.6 Ast	JR
3	184	Mike Beers	Broadalbin, NY	G	75	mike-beers-1	3.2 Pts, 1.1 Reb, 0.4 Ast	SR
24	229	Cory Magee	Fairport, NY	F	80	cory-magee-1	1.1 Pts, 3.0 Reb, 0.6 Ast	FR
13	221	Mousse Diop		C	81	mousse-diop-1	0.9 Pts, 0.5 Reb, 0.1 Ast	SR
21	250	James Carr	Bronx, NY	C	82	james-carr-1	0.8 Pts, 0.0 Reb, 0.0 Ast	FR
5	141	Mick Doemel	Albany, NY	G	67	mick-doemel-1	1.5 Pts, 0.5 Reb, 0.0 Ast	SO
1	200	Darius Haddix	Vineland, NJ	G	75	darius-haddix-1	0.7 Pts, 0.3 Reb, 0.3 Ast	FR
11	206	Joao Braga		G	75	joao-braga-1	0.0 Pts, 0.2 Reb, 0.3 Ast	SO
44	174	Justin Maxwell	Schenectady, NY	G	75	justin-maxwell-1	0.0 Pts, 0.5 Reb, 0.3 Ast	SO
