number	weight	playerName	hometown	pos	height	playerId	summary	class
15	220	Lawrence Hill	Glendale, AZ	F	80	lawrence-hill-1	15.7 Pts, 6.0 Reb, 1.8 Ast	SO
11	260	Brook Lopez	Fresno, CA	F	84	brook-lopez-1	12.6 Pts, 6.0 Reb, 0.8 Ast	FR
4	200	Anthony Goods	Corona, CA	G	76	anthony-goods-1	12.8 Pts, 3.2 Reb, 2.3 Ast	SO
44	215	Fred Washington	Los Angeles, CA	F	77	fred-washington-1	8.2 Pts, 5.2 Reb, 3.6 Ast	SR
42	255	Robin Lopez	Fresno, CA	C	84	robin-lopez-1	7.5 Pts, 5.5 Reb, 0.9 Ast	FR
1	185	Mitch Johnson	Seattle, WA	G	73	mitch-johnson-1	4.3 Pts, 2.8 Reb, 3.3 Ast	SO
2	215	Landry Fields	Long Beach, CA	G	79	landry-fields-1	4.2 Pts, 2.5 Reb, 0.7 Ast	FR
31	200	Taj Finger	Mount Kisco, NY	F	80	taj-finger-1	3.9 Pts, 2.9 Reb, 0.5 Ast	JR
22	200	Kenny Brown	Southlake, TX	G	74	kenny-brown-2	3.8 Pts, 0.8 Reb, 0.7 Ast	SO
55	245	Peter Prowitt	Arlington, VA	C	82	peter-prowitt-1	1.2 Pts, 1.2 Reb, 0.2 Ast	JR
	245	Will Paul	Corpus Christi, TX	C	82	will-paul-1	1.2 Pts, 1.4 Reb, 0.2 Ast	FR
22	190	Da'Veed Dildy	Chicago, IL	G	77	daveed-dildy-1	1.1 Pts, 0.3 Reb, 0.1 Ast	FR
3	180	Carlton Weatherby	Tacoma, WA	G	73	carlton-weatherby-1	0.4 Pts, 0.7 Reb, 0.6 Ast	SR
24	195	Chris Bobel	Palo Alto, CA			chris-bobel-1	0.4 Pts, 0.2 Reb, 0.6 Ast	FR
