number	weight	playerName	hometown	pos	height	playerId	summary	class
54	265	Chris Daniels	San Antonio, TX	C	84	chris-daniels-2	15.3 Pts, 6.7 Reb, 0.8 Ast	SR
2	200	Josh Washington	Lubbock, TX	G	75	josh-washington-1	12.8 Pts, 1.6 Reb, 1.4 Ast	SR
32	205	Cedric Smith	Longview, TX	F	79	cedric-smith-2	9.7 Pts, 3.4 Reb, 0.9 Ast	SR
21	240	Manuel Johnson	Houston, TX	F	79	manuel-johnson-1	9.0 Pts, 4.6 Reb, 0.7 Ast	JR
12	185	Josh Ervin	Houston, TX	G	73	josh-ervin-1	8.1 Pts, 3.3 Reb, 3.7 Ast	SR
20	190	Taurean Mitchell	Corpus Christi, TX	G	73	taurean-mitchell-1	7.7 Pts, 2.2 Reb, 4.0 Ast	SR
23	190	Kevin Menifee	Pittsburgh, PA	F	77	kevin-menifee-1	6.2 Pts, 5.6 Reb, 3.3 Ast	SR
44	205	Seth Engelken	St. Joseph, MO	F	79	seth-engelken-1	5.1 Pts, 2.0 Reb, 1.5 Ast	SR
3	175	Matt Slatnick	Austin, TX	G	71	matt-slatnick-1	2.9 Pts, 0.5 Reb, 0.5 Ast	SO
34	230	Carl Nelson	Buffalo, TX	C	82	carl-nelson-1	2.1 Pts, 1.6 Reb, 0.1 Ast	SO
1	170	Dominique Taylor	Grand Rapids, MI	G	72	dominique-taylor-1	0.7 Pts, 0.3 Reb, 0.3 Ast	SO
22	190	Brandon Roberson	Rosharon, TX	G	70	brandon-roberson-1	0.6 Pts, 0.6 Reb, 0.7 Ast	FR
11	190	Rashad Mintz	District Heights, MD	G	70	rashad-mintz-1	2.2 Pts, 1.6 Reb, 5.0 Ast	JR
50	210	Cameron Teague	Corpus Christi, TX	F	77	cameron-teague-1	0.5 Pts, 0.8 Reb, 0.0 Ast	JR
15	215	William Bullard	Detroit, MI	F	77	william-bullard-1	2.7 Pts, 0.7 Reb, 0.0 Ast	JR
13	172	Adan Montalvo	Mission, TX	G	72	adan-montalvo-1	0.6 Pts, 0.2 Reb, 0.2 Ast	FR
42	175	Chad Nelson	Houston, TX	F	79	chad-nelson-1	0.2 Pts, 0.1 Reb, 0.0 Ast	FR
