number	weight	playerName	hometown	pos	height	playerId	summary	class
32	245	Kevin Langford	Fort Worth, TX	F	80	kevin-langford-2	13.2 Pts, 6.0 Reb, 1.8 Ast	SO
12	203	Brent Hackett	Fort Worth, TX	G	75	brent-hackett-1	11.2 Pts, 2.0 Reb, 1.8 Ast	JR
33	220	Alvardo Parker		F	79	alvardo-parker-1	8.8 Pts, 5.8 Reb, 0.7 Ast	JR
11	175	Ryan Wall	Coppell, TX	G	72	ryan-wall-1	7.1 Pts, 1.6 Reb, 2.1 Ast	JR
5	193	Neiman Owens	Channelview, TX	G	76	neiman-owens-1	6.4 Pts, 5.9 Reb, 2.0 Ast	JR
23	203	Blake Adams	Houston, TX	F	78	blake-adams-1	4.9 Pts, 2.4 Reb, 0.6 Ast	SR
12	257	Femi Ibikunle		F	81	femi-ibikunle-1	4.4 Pts, 3.4 Reb, 0.2 Ast	SR
13	181	Neil Dougherty	Fort Worth, TX	G	73	neil-dougherty-1	3.4 Pts, 2.3 Reb, 2.6 Ast	SR
22	175	Keion Mitchem	Rochester, NY	G	72	keion-mitchem-1	5.3 Pts, 1.3 Reb, 0.5 Ast	FR
3	175	Jason Ebie	Houston, TX	G	73	jason-ebie-1	1.0 Pts, 0.5 Reb, 0.3 Ast	FR
21	0	David Fishel		G	72	david-fishel-1	0.4 Pts, 0.4 Reb, 0.2 Ast	FR
10	165	Martiese Morones	Lexington, KY	G	72	martiese-morones-1	0.1 Pts, 0.4 Reb, 0.6 Ast	FR
24	175	Brian Abadie	Athens, TX	G	71	brian-abadie-1	0.0 Pts, 0.0 Reb, 0.0 Ast	JR
25	0	Carter Dunbar		G	72	carter-dunbar-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
44	0	Zach Hawkins				zach-hawkins-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
30	190	Nick Metzger	San Antonio, TX	F	75	nick-metzger-1	0.0 Pts, 0.0 Reb, 0.0 Ast	FR
