number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
4	220	Jovan Crnic	Nis, Serbia	G	77	jovan-crnic-1	8.0 Pts, 2.5 Reb, 3.1 Ast		SR
15	230	Hayden Farquhar	Throckmorton, TX	F	79	hayden-farquhar-1	5.7 Pts, 3.3 Reb, 0.6 Ast		SO
	195	Jaylen Franklin	Jacksonville, AR	G	74	jaylen-franklin-1	11.1 Pts, 4.3 Reb, 3.0 Ast		SO
21	250	Jalone Friday	Oklahoma City, OK	C	81	jalone-friday-1	13.0 Pts, 6.1 Reb, 0.3 Ast		FR
11	170	Drake Green	Houston, TX	G	75	drake-green-1	5.2 Pts, 1.5 Reb, 1.5 Ast	Clear Lakes HS	JR
23	225	Hayden Howell	Midwest City, OK	F	79	hayden-howell-1	4.5 Pts, 3.0 Reb, 0.6 Ast		SO
34	210	Kolton Kohl	San Angelo, TX	C	84	kolton-kohl-1			FR
3	185	Diamante Langston	Lewisville, TX	G	74	diamante-langston-1	1.3 Pts, 0.9 Reb, 0.9 Ast		JR
14	210	Trey Lenox	Hot Springs, AR	G	75	trey-lenox-1	0.8 Pts, 0.4 Reb, 0.4 Ast		FR
1	210	Jaren Lewis	Orlando, FL	G	78	jaren-lewis-1	14.4 Pts, 6.3 Reb, 2.5 Ast		SO
42	190	Jerod Martin	Wichita, KS	G	73	jerod-martin-1			FR
2	175	B.J. Maxwell	Austin, TX	G	76	bj-maxwell-1	1.0 Pts, 1.0 Reb, 0.3 Ast		FR
22	170	Jadon Reynolds	Fort Worth, TX	G	73	jadon-reynolds-1	0.0 Pts, 0.3 Reb, 0.0 Ast		FR
5	175	Payten Ricks	Wichita, KS	G	74	payten-ricks-1	4.0 Pts, 0.9 Reb, 1.4 Ast		FR
10	180	Isaiah Tripp	Baltimore, MD	G	73	isaiah-tripp-1	5.3 Pts, 1.2 Reb, 1.0 Ast	Furture College Prep	JR
