number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
12	180	Andre Adams	Avondale, AZ	F	69	andre-adams-1	1.0 Pts, 0.6 Reb, 0.0 Ast	Angelo State	SO
3	200	Sam Cunliffe	Seattle, WA	G	78	sam-cunliffe-1	9.5 Pts, 4.8 Reb, 1.4 Ast		FR
11	170	Shannon Evans	Suffolk, VA	G	73	shannon-evans-1	15.9 Pts, 3.4 Reb, 4.4 Ast	Nansemond River	JR
	165	Grant Fogerty		G	71	grant-fogerty-1	0.0 Pts, 0.0 Reb, 0.0 Ast		
4	200	Torian Graham	Durham, NC	G	76	torian-graham-1	18.1 Pts, 4.3 Reb, 1.4 Ast		SR
	165	Tra Holder	Los Angeles, CA	G	73	tra-holder-1	16.7 Pts, 3.8 Reb, 3.3 Ast	Brentwood	JR
	165	Romaine Jackson		G	68	romaine-jackson-1	0.0 Pts, 0.0 Reb, 0.0 Ast		
44	160	Kodi Justice	Mesa, AZ	G	75	kodi-justice-1	7.9 Pts, 3.1 Reb, 2.5 Ast	Dobson HS	JR
	232	Mickey Mitchell		F	79	mickey-mitchell-1		Plano West HS	
1	210	Maurice O'Field	Cleveland, OH	G	77	maurice-ofield-1	0.8 Pts, 0.6 Reb, 0.4 Ast	John Jay HS (OH)	JR
	210	Chris Odionu		G	76	chris-odionu-1	0.0 Pts, 0.0 Reb, 0.0 Ast		
5	225	Obinna Oleka	Washington, DC	F	79	obinna-oleka-1	13.1 Pts, 10.4 Reb, 1.2 Ast	Florida Christian Institute	SR
13	210	Vitaliy Shibel	Kiev, Ukraine	F	81	vitaliy-shibel-1			FR
	260	Jethro Tshisumpa		F	82	jethro-tshisumpa-1	1.0 Pts, 1.5 Reb, 0.0 Ast		FR
33	230	Ramon Vila	Barcelona, Spain	F	80	ramon-vila-1	2.7 Pts, 1.7 Reb, 0.1 Ast		FR
23	220	Romello White	Suwanee, GA	F	80	romello-white-1			FR
22	160	Austin Witherill	Gilbert, AZ	G	72	austin-witherill-1	0.2 Pts, 0.2 Reb, 0.1 Ast	Highland HS	JR
