number	weight	playerName	hometown	pos	height	playerId	summary	high_school	class
20	185	Domas Budrys	Kretinga, Lithuania	G	76	domas-budrys-1	1.3 Pts, 0.3 Reb, 0.0 Ast	Parkview Christian HS	JR
25	245	Dre' Clayton	Orlando, FL	F	78	dre-clayton-1	3.1 Pts, 2.1 Reb, 0.3 Ast	Maynard Evans	JR
1	200	Assane Diop	Dakar, Senegal	F	80	assane-diop-1	3.1 Pts, 3.0 Reb, 0.4 Ast	Nobeoka Gakuen (Japan)	SR
24	205	Jartavious Dobbs	Columbus, MS	F	82	jartavious-dobbs-1	0.8 Pts, 1.9 Reb, 0.1 Ast		FR
45	185	Zach Glotta	O' Fallon, MO	G	72	zach-glotta-1	3.4 Pts, 0.6 Reb, 1.1 Ast	Fort Zumwalt North HS	SO
23	180	Steve Harris	St. Louis, MO	G	77	steve-harris-3	1.9 Pts, 0.7 Reb, 0.5 Ast	Webster Groves (MO)	SO
10	175	Tre' Ivory	Louisville, KY	G	71	tre-ivory-1	1.5 Pts, 0.9 Reb, 1.0 Ast	Trinity	JR
42	180	Kenny Jones	South Bend, IN	F	78	kenny-jones-2	14.7 Pts, 7.5 Reb, 0.8 Ast		SR
21	190	Sam McCracken	Cincinnati, OH	F	80	sam-mccracken-1			FR
32	195	John Murry	Indianapolis, IN	G	75	john-murry-1	13.2 Pts, 2.2 Reb, 1.6 Ast		SR
3	195	Chris Porter-Bunton	Bowling Green, KY	F	76	chris-porter-bunton-1	6.1 Pts, 3.5 Reb, 0.9 Ast	Warren Central HS	SO
4	180	Josh Robinson	St. Louis, MO	G	75	josh-robinson-3	20.8 Pts, 2.8 Reb, 3.6 Ast	St. Mary's HS	JR
2	195	Jared Savage	Bowling Green, KY	G	77	jared-savag-1	9.4 Pts, 3.9 Reb, 1.1 Ast		SO
30	185	Chris Stocks	Poplar Bluff, MO	G	76	chris-stocks-1			FR
